2025-11-11 08:22:36,086 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-11 08:22:36,090 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-11 08:22:40,951 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-11 08:22:41,044 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-11 08:22:41,048 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-11 08:22:45,548 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-11 08:22:45,566 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-11 08:22:46,163 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-11 08:22:46,167 | film_recommender_cg.trainer | INFO | RMSE: 0.833
2025-11-11 08:22:46,170 | film_recommender_cg.trainer | INFO | squared: 0.299
2025-11-11 08:22:46,596 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-11 08:22:46,809 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-11 08:22:47,052 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-11 08:22:47,067 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-11 08:22:47,090 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.885
2025-11-11 08:22:47,093 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.197
2025-11-11 08:22:47,122 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.815
2025-11-11 08:22:47,126 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.28
2025-11-11 08:22:47,149 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.863
2025-11-11 08:22:47,153 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.247
2025-11-11 08:22:47,182 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.802
