2025-11-13 09:59:45,717 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 09:59:45,720 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-13 09:59:50,696 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-13 09:59:50,755 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-13 09:59:50,758 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-13 09:59:53,081 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-13 09:59:53,090 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-13 09:59:53,291 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 09:59:53,292 | film_recommender_cg.trainer | INFO | RMSE: 0.839
2025-11-13 09:59:53,294 | film_recommender_cg.trainer | INFO | squared: 0.3
2025-11-13 09:59:53,524 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-13 09:59:53,759 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 09:59:53,893 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-13 09:59:53,914 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 09:59:53,928 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.763
2025-11-13 09:59:53,930 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.239
2025-11-13 09:59:53,941 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.719
2025-11-13 09:59:53,948 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = 0.069
2025-11-13 09:59:53,959 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = 0.682
2025-11-13 09:59:53,963 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = 0.231
2025-11-13 09:59:53,975 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.867
2025-11-13 09:59:53,979 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.312
2025-11-13 09:59:53,990 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.921
2025-11-13 09:59:53,993 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.207
2025-11-13 09:59:54,006 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.866
2025-11-13 09:59:54,010 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.287
2025-11-13 09:59:54,021 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.888
2025-11-13 09:59:54,024 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.319
2025-11-13 09:59:54,035 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 09:59:54,039 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 09:59:54,051 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.875
2025-11-13 09:59:54,054 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.31
2025-11-13 09:59:54,069 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.86
2025-11-13 09:59:54,073 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.309
2025-11-13 09:59:54,088 | film_recommender_cg.trainer | INFO | 'Western' rmse = 0.817
2025-11-13 09:59:54,090 | film_recommender_cg.trainer | INFO | 'Western' r-squared = 0.354
2025-11-13 09:59:54,105 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.836
2025-11-13 09:59:54,108 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.283
2025-11-13 09:59:54,121 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.827
2025-11-13 09:59:54,124 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.316
2025-11-13 09:59:54,136 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.758
2025-11-13 09:59:54,139 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.295
2025-11-13 09:59:54,150 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.869
2025-11-13 09:59:54,154 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.3
2025-11-13 09:59:54,166 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.841
2025-11-13 09:59:54,170 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.243
2025-11-13 09:59:54,181 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.842
2025-11-13 09:59:54,184 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.275
2025-11-13 09:59:54,198 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.805
2025-11-13 09:59:54,200 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.258
2025-11-13 09:59:54,210 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 09:59:54,211 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 09:59:54,226 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.807
2025-11-13 09:59:54,229 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.322
2025-11-13 09:59:54,243 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.931
2025-11-13 09:59:54,246 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.291
2025-11-13 09:59:55,345 | film_recommender_cg.trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 09:59:55,351 | film_recommender_cg.trainer | INFO | Evaluation of SVD model complete!
2025-11-13 09:59:55,355 | film_recommender_cg.trainer | INFO | Logging SVD model in W&B...
2025-11-13 09:59:57,097 | film_recommender_cg.trainer | INFO | SVD model successfully logged!
