2025-11-13 10:06:34,404 | __main__ | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 10:06:34,406 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:06:38,795 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-13 10:06:38,894 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:06:38,897 | __main__ | INFO | Training SVD model...
2025-11-13 10:06:41,830 | __main__ | INFO | SVD model successfully trained!
2025-11-13 10:06:41,840 | __main__ | INFO | Evaluating SVD model...
2025-11-13 10:06:42,233 | __main__ | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 10:06:42,237 | __main__ | INFO | RMSE: 0.839
2025-11-13 10:06:42,239 | __main__ | INFO | squared: 0.3
2025-11-13 10:06:42,527 | __main__ | INFO | Loading in 'genres' table...
2025-11-13 10:06:42,739 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:06:42,927 | __main__ | INFO | Table successfully loaded!
2025-11-13 10:06:42,941 | __main__ | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 10:06:42,971 | __main__ | INFO | 'Music' rmse = 0.921
2025-11-13 10:06:42,974 | __main__ | INFO | 'Music' r-squared = 0.207
2025-11-13 10:06:43,001 | __main__ | INFO | 'Western' rmse = 0.817
2025-11-13 10:06:43,005 | __main__ | INFO | 'Western' r-squared = 0.354
2025-11-13 10:06:43,021 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:06:43,025 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:06:43,045 | __main__ | INFO | 'Drama' rmse = 0.805
2025-11-13 10:06:43,048 | __main__ | INFO | 'Drama' r-squared = 0.258
2025-11-13 10:06:43,066 | __main__ | INFO | 'Horror' rmse = 0.931
2025-11-13 10:06:43,070 | __main__ | INFO | 'Horror' r-squared = 0.291
2025-11-13 10:06:43,093 | __main__ | INFO | 'History' rmse = 0.763
2025-11-13 10:06:43,096 | __main__ | INFO | 'History' r-squared = 0.239
2025-11-13 10:06:43,119 | __main__ | INFO | 'Fantasy' rmse = 0.867
2025-11-13 10:06:43,122 | __main__ | INFO | 'Fantasy' r-squared = 0.312
2025-11-13 10:06:43,144 | __main__ | INFO | 'Mystery' rmse = 0.836
2025-11-13 10:06:43,147 | __main__ | INFO | 'Mystery' r-squared = 0.283
2025-11-13 10:06:43,171 | __main__ | INFO | 'War' rmse = 0.758
2025-11-13 10:06:43,174 | __main__ | INFO | 'War' r-squared = 0.295
2025-11-13 10:06:43,196 | __main__ | INFO | 'Family' rmse = 0.869
2025-11-13 10:06:43,199 | __main__ | INFO | 'Family' r-squared = 0.3
2025-11-13 10:06:43,224 | __main__ | INFO | 'Animation' rmse = 0.841
2025-11-13 10:06:43,228 | __main__ | INFO | 'Animation' r-squared = 0.243
2025-11-13 10:06:43,243 | __main__ | INFO | 'Crime' rmse = 0.807
2025-11-13 10:06:43,246 | __main__ | INFO | 'Crime' r-squared = 0.322
2025-11-13 10:06:43,269 | __main__ | INFO | 'Romance' rmse = 0.842
2025-11-13 10:06:43,273 | __main__ | INFO | 'Romance' r-squared = 0.275
2025-11-13 10:06:43,290 | __main__ | INFO | 'Adventure' rmse = 0.875
2025-11-13 10:06:43,293 | __main__ | INFO | 'Adventure' r-squared = 0.31
2025-11-13 10:06:43,308 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:06:43,311 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:06:43,332 | __main__ | INFO | 'Science Fiction' rmse = 0.888
2025-11-13 10:06:43,336 | __main__ | INFO | 'Science Fiction' r-squared = 0.319
2025-11-13 10:06:43,353 | __main__ | INFO | 'Comedy' rmse = 0.866
2025-11-13 10:06:43,356 | __main__ | INFO | 'Comedy' r-squared = 0.287
2025-11-13 10:06:43,376 | __main__ | INFO | 'Documentary' rmse = 0.719
2025-11-13 10:06:43,380 | __main__ | INFO | 'Documentary' r-squared = 0.069
2025-11-13 10:06:43,402 | __main__ | INFO | 'Thriller' rmse = 0.827
2025-11-13 10:06:43,406 | __main__ | INFO | 'Thriller' r-squared = 0.316
2025-11-13 10:06:43,424 | __main__ | INFO | 'Foreign' rmse = 0.682
2025-11-13 10:06:43,428 | __main__ | INFO | 'Foreign' r-squared = 0.231
2025-11-13 10:06:43,446 | __main__ | INFO | 'Action' rmse = 0.86
2025-11-13 10:06:43,450 | __main__ | INFO | 'Action' r-squared = 0.309
2025-11-13 10:06:44,754 | __main__ | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 10:06:44,762 | __main__ | INFO | Evaluation of SVD model complete!
2025-11-13 10:06:44,764 | __main__ | INFO | Logging SVD model in W&B...
2025-11-13 10:06:46,410 | __main__ | INFO | SVD model successfully logged!
