2025-11-13 10:15:23,939 | __main__ | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-13 10:15:23,948 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:15:28,313 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-13 10:15:28,379 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:15:28,381 | __main__ | INFO | Number of 'existing' users: 1786 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-13 10:15:28,383 | __main__ | INFO | Number of 'New' users: 22 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-13 10:15:28,386 | __main__ | INFO | Ratings data loaded successfully.
2025-11-13 10:15:28,570 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:15:28,740 | __main__ | INFO | Genres table loaded successfully.
2025-11-13 10:15:28,742 | __main__ | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-13 10:15:30,150 | __main__ | INFO | Model successfully loaded!
2025-11-13 10:15:30,153 | __main__ | INFO | Model imported successfully.
2025-11-13 10:15:30,156 | __main__ | INFO | Scoring for 'existing' users...
