2025-11-13 10:19:44,038 | __main__ | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 10:19:44,040 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:19:48,274 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-13 10:19:48,332 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:19:48,337 | __main__ | INFO | Training SVD model...
2025-11-13 10:19:49,025 | __main__ | INFO | SVD model successfully trained!
2025-11-13 10:19:49,031 | __main__ | INFO | Evaluating SVD model...
2025-11-13 10:19:49,116 | __main__ | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 10:19:49,119 | __main__ | INFO | RMSE: 0.897
2025-11-13 10:19:49,120 | __main__ | INFO | squared: 0.273
2025-11-13 10:19:49,346 | __main__ | INFO | Loading in 'genres' table...
2025-11-13 10:19:49,554 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:19:49,727 | __main__ | INFO | Table successfully loaded!
2025-11-13 10:19:49,742 | __main__ | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 10:19:49,760 | __main__ | INFO | 'Romance' rmse = 0.928
2025-11-13 10:19:49,763 | __main__ | INFO | 'Romance' r-squared = 0.214
2025-11-13 10:19:49,772 | __main__ | INFO | 'War' rmse = 0.873
2025-11-13 10:19:49,775 | __main__ | INFO | 'War' r-squared = 0.283
2025-11-13 10:19:49,790 | __main__ | INFO | 'Adventure' rmse = 0.886
2025-11-13 10:19:49,793 | __main__ | INFO | 'Adventure' r-squared = 0.315
2025-11-13 10:19:49,808 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:19:49,820 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:19:49,831 | __main__ | INFO | 'Science Fiction' rmse = 0.885
2025-11-13 10:19:49,834 | __main__ | INFO | 'Science Fiction' r-squared = 0.325
2025-11-13 10:19:49,852 | __main__ | INFO | 'History' rmse = 0.823
2025-11-13 10:19:49,856 | __main__ | INFO | 'History' r-squared = 0.189
2025-11-13 10:19:49,879 | __main__ | INFO | 'Animation' rmse = 0.906
2025-11-13 10:19:49,892 | __main__ | INFO | 'Animation' r-squared = 0.199
2025-11-13 10:19:49,910 | __main__ | INFO | 'Family' rmse = 0.937
2025-11-13 10:19:49,913 | __main__ | INFO | 'Family' r-squared = 0.222
2025-11-13 10:19:49,927 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:19:49,930 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:19:49,964 | __main__ | INFO | 'Crime' rmse = 0.851
2025-11-13 10:19:49,966 | __main__ | INFO | 'Crime' r-squared = 0.312
2025-11-13 10:19:49,987 | __main__ | INFO | 'Western' rmse = 0.89
2025-11-13 10:19:50,001 | __main__ | INFO | 'Western' r-squared = 0.266
2025-11-13 10:19:50,024 | __main__ | INFO | 'Horror' rmse = 0.964
2025-11-13 10:19:50,028 | __main__ | INFO | 'Horror' r-squared = 0.279
2025-11-13 10:19:50,044 | __main__ | INFO | 'Drama' rmse = 0.886
2025-11-13 10:19:50,048 | __main__ | INFO | 'Drama' r-squared = 0.225
2025-11-13 10:19:50,072 | __main__ | INFO | 'Mystery' rmse = 0.852
2025-11-13 10:19:50,075 | __main__ | INFO | 'Mystery' r-squared = 0.315
2025-11-13 10:19:50,088 | __main__ | INFO | 'Fantasy' rmse = 0.909
2025-11-13 10:19:50,091 | __main__ | INFO | 'Fantasy' r-squared = 0.282
2025-11-13 10:19:50,098 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:19:50,100 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:19:50,117 | __main__ | INFO | 'Action' rmse = 0.875
2025-11-13 10:19:50,120 | __main__ | INFO | 'Action' r-squared = 0.339
2025-11-13 10:19:50,135 | __main__ | INFO | 'Documentary' rmse = Insufficient Data
2025-11-13 10:19:50,146 | __main__ | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-13 10:19:50,158 | __main__ | INFO | 'Thriller' rmse = 0.866
2025-11-13 10:19:50,165 | __main__ | INFO | 'Thriller' r-squared = 0.312
2025-11-13 10:19:50,174 | __main__ | INFO | 'Music' rmse = 1.006
2025-11-13 10:19:50,185 | __main__ | INFO | 'Music' r-squared = 0.217
2025-11-13 10:19:50,196 | __main__ | INFO | 'Comedy' rmse = 0.923
2025-11-13 10:19:50,207 | __main__ | INFO | 'Comedy' r-squared = 0.251
2025-11-13 10:19:51,709 | __main__ | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 10:19:51,712 | __main__ | INFO | Evaluation of SVD model complete!
2025-11-13 10:19:51,714 | __main__ | INFO | Logging SVD model in W&B...
2025-11-13 10:19:52,952 | __main__ | INFO | SVD model successfully logged!
