2025-11-13 10:30:46,767 | __main__ | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 10:30:46,915 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:30:51,929 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-13 10:30:52,119 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:30:52,122 | __main__ | INFO | Training SVD model...
2025-11-13 10:30:52,842 | __main__ | INFO | SVD model successfully trained!
2025-11-13 10:30:52,849 | __main__ | INFO | Evaluating SVD model...
2025-11-13 10:30:52,977 | __main__ | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 10:30:52,981 | __main__ | INFO | RMSE: 0.897
2025-11-13 10:30:52,984 | __main__ | INFO | squared: 0.273
2025-11-13 10:30:53,086 | __main__ | INFO | Loading in 'genres' table...
2025-11-13 10:30:53,285 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:30:53,468 | __main__ | INFO | Table successfully loaded!
2025-11-13 10:30:53,480 | __main__ | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 10:30:53,491 | __main__ | INFO | 'Romance' rmse = 0.928
2025-11-13 10:30:53,497 | __main__ | INFO | 'Romance' r-squared = 0.214
2025-11-13 10:30:53,516 | __main__ | INFO | 'War' rmse = 0.873
2025-11-13 10:30:53,520 | __main__ | INFO | 'War' r-squared = 0.283
2025-11-13 10:30:53,530 | __main__ | INFO | 'Adventure' rmse = 0.886
2025-11-13 10:30:53,533 | __main__ | INFO | 'Adventure' r-squared = 0.315
2025-11-13 10:30:53,541 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:30:53,546 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:30:53,563 | __main__ | INFO | 'Science Fiction' rmse = 0.885
2025-11-13 10:30:53,566 | __main__ | INFO | 'Science Fiction' r-squared = 0.325
2025-11-13 10:30:53,583 | __main__ | INFO | 'History' rmse = 0.823
2025-11-13 10:30:53,587 | __main__ | INFO | 'History' r-squared = 0.189
2025-11-13 10:30:53,600 | __main__ | INFO | 'Animation' rmse = 0.906
2025-11-13 10:30:53,603 | __main__ | INFO | 'Animation' r-squared = 0.199
2025-11-13 10:30:53,618 | __main__ | INFO | 'Family' rmse = 0.937
2025-11-13 10:30:53,621 | __main__ | INFO | 'Family' r-squared = 0.222
2025-11-13 10:30:53,636 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:30:53,645 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:30:53,661 | __main__ | INFO | 'Crime' rmse = 0.851
2025-11-13 10:30:53,667 | __main__ | INFO | 'Crime' r-squared = 0.312
2025-11-13 10:30:53,678 | __main__ | INFO | 'Western' rmse = 0.89
2025-11-13 10:30:53,683 | __main__ | INFO | 'Western' r-squared = 0.266
2025-11-13 10:30:53,697 | __main__ | INFO | 'Horror' rmse = 0.964
2025-11-13 10:30:53,702 | __main__ | INFO | 'Horror' r-squared = 0.279
2025-11-13 10:30:53,715 | __main__ | INFO | 'Drama' rmse = 0.886
2025-11-13 10:30:53,718 | __main__ | INFO | 'Drama' r-squared = 0.225
2025-11-13 10:30:53,736 | __main__ | INFO | 'Mystery' rmse = 0.852
2025-11-13 10:30:53,741 | __main__ | INFO | 'Mystery' r-squared = 0.315
2025-11-13 10:30:53,757 | __main__ | INFO | 'Fantasy' rmse = 0.909
2025-11-13 10:30:53,759 | __main__ | INFO | 'Fantasy' r-squared = 0.282
2025-11-13 10:30:53,768 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:30:53,772 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:30:53,784 | __main__ | INFO | 'Action' rmse = 0.875
2025-11-13 10:30:53,789 | __main__ | INFO | 'Action' r-squared = 0.339
2025-11-13 10:30:53,802 | __main__ | INFO | 'Documentary' rmse = Insufficient Data
2025-11-13 10:30:53,807 | __main__ | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-13 10:30:53,818 | __main__ | INFO | 'Thriller' rmse = 0.866
2025-11-13 10:30:53,826 | __main__ | INFO | 'Thriller' r-squared = 0.312
2025-11-13 10:30:53,841 | __main__ | INFO | 'Music' rmse = 1.006
2025-11-13 10:30:53,844 | __main__ | INFO | 'Music' r-squared = 0.217
2025-11-13 10:30:53,854 | __main__ | INFO | 'Comedy' rmse = 0.923
2025-11-13 10:30:53,858 | __main__ | INFO | 'Comedy' r-squared = 0.251
2025-11-13 10:30:54,993 | __main__ | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 10:30:55,001 | __main__ | INFO | Evaluation of SVD model complete!
2025-11-13 10:30:55,007 | __main__ | INFO | Logging SVD model in W&B...
2025-11-13 10:30:56,427 | __main__ | INFO | SVD model successfully logged!
