2025-11-13 10:37:11,791 | __main__ | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 10:37:11,794 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:37:16,487 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (144960, 4)
2025-11-13 10:37:16,519 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:37:16,523 | __main__ | INFO | Training SVD model...
2025-11-13 10:37:17,215 | __main__ | INFO | SVD model successfully trained!
2025-11-13 10:37:17,221 | __main__ | INFO | Evaluating SVD model...
2025-11-13 10:37:17,304 | __main__ | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 10:37:17,306 | __main__ | INFO | RMSE: 0.897
2025-11-13 10:37:17,309 | __main__ | INFO | squared: 0.273
2025-11-13 10:37:17,547 | __main__ | INFO | Loading in 'genres' table...
2025-11-13 10:37:17,746 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:37:17,912 | __main__ | INFO | Table successfully loaded!
2025-11-13 10:37:17,923 | __main__ | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 10:37:17,935 | __main__ | INFO | 'Horror' rmse = 0.964
2025-11-13 10:37:17,939 | __main__ | INFO | 'Horror' r-squared = 0.279
2025-11-13 10:37:17,952 | __main__ | INFO | 'War' rmse = 0.873
2025-11-13 10:37:17,955 | __main__ | INFO | 'War' r-squared = 0.283
2025-11-13 10:37:17,969 | __main__ | INFO | 'Action' rmse = 0.875
2025-11-13 10:37:17,975 | __main__ | INFO | 'Action' r-squared = 0.339
2025-11-13 10:37:17,985 | __main__ | INFO | 'Animation' rmse = 0.906
2025-11-13 10:37:17,987 | __main__ | INFO | 'Animation' r-squared = 0.199
2025-11-13 10:37:17,996 | __main__ | INFO | 'Documentary' rmse = Insufficient Data
2025-11-13 10:37:18,000 | __main__ | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-13 10:37:18,013 | __main__ | INFO | 'Mystery' rmse = 0.852
2025-11-13 10:37:18,018 | __main__ | INFO | 'Mystery' r-squared = 0.315
2025-11-13 10:37:18,027 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:37:18,031 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:37:18,042 | __main__ | INFO | 'Fantasy' rmse = 0.909
2025-11-13 10:37:18,045 | __main__ | INFO | 'Fantasy' r-squared = 0.282
2025-11-13 10:37:18,060 | __main__ | INFO | 'Family' rmse = 0.937
2025-11-13 10:37:18,064 | __main__ | INFO | 'Family' r-squared = 0.222
2025-11-13 10:37:18,080 | __main__ | INFO | 'Crime' rmse = 0.851
2025-11-13 10:37:18,083 | __main__ | INFO | 'Crime' r-squared = 0.312
2025-11-13 10:37:18,093 | __main__ | INFO | 'History' rmse = 0.823
2025-11-13 10:37:18,095 | __main__ | INFO | 'History' r-squared = 0.189
2025-11-13 10:37:18,104 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:37:18,107 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:37:18,120 | __main__ | INFO | 'Comedy' rmse = 0.923
2025-11-13 10:37:18,125 | __main__ | INFO | 'Comedy' r-squared = 0.251
2025-11-13 10:37:18,138 | __main__ | INFO | 'Adventure' rmse = 0.886
2025-11-13 10:37:18,142 | __main__ | INFO | 'Adventure' r-squared = 0.315
2025-11-13 10:37:18,151 | __main__ | INFO | 'Science Fiction' rmse = 0.885
2025-11-13 10:37:18,154 | __main__ | INFO | 'Science Fiction' r-squared = 0.325
2025-11-13 10:37:18,182 | __main__ | INFO | 'Thriller' rmse = 0.866
2025-11-13 10:37:18,185 | __main__ | INFO | 'Thriller' r-squared = 0.312
2025-11-13 10:37:18,193 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:37:18,196 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:37:18,207 | __main__ | INFO | 'Drama' rmse = 0.886
2025-11-13 10:37:18,210 | __main__ | INFO | 'Drama' r-squared = 0.225
2025-11-13 10:37:18,223 | __main__ | INFO | 'Western' rmse = 0.89
2025-11-13 10:37:18,227 | __main__ | INFO | 'Western' r-squared = 0.266
2025-11-13 10:37:18,239 | __main__ | INFO | 'Romance' rmse = 0.928
2025-11-13 10:37:18,241 | __main__ | INFO | 'Romance' r-squared = 0.214
2025-11-13 10:37:18,250 | __main__ | INFO | 'Music' rmse = 1.006
2025-11-13 10:37:18,255 | __main__ | INFO | 'Music' r-squared = 0.217
2025-11-13 10:37:19,393 | __main__ | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 10:37:19,396 | __main__ | INFO | Evaluation of SVD model complete!
2025-11-13 10:37:19,398 | __main__ | INFO | Logging SVD model in W&B...
2025-11-13 10:37:20,601 | __main__ | INFO | SVD model successfully logged!
