2025-11-13 10:45:28,010 | __main__ | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 10:45:28,013 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:45:32,650 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (150820, 4)
2025-11-13 10:45:32,667 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:45:32,672 | __main__ | INFO | Training SVD model...
2025-11-13 10:45:33,369 | __main__ | INFO | SVD model successfully trained!
2025-11-13 10:45:33,375 | __main__ | INFO | Evaluating SVD model...
2025-11-13 10:45:33,461 | __main__ | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 10:45:33,465 | __main__ | INFO | RMSE: 0.897
2025-11-13 10:45:33,468 | __main__ | INFO | squared: 0.273
2025-11-13 10:45:33,707 | __main__ | INFO | Loading in 'genres' table...
2025-11-13 10:45:33,924 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:45:34,101 | __main__ | INFO | Table successfully loaded!
2025-11-13 10:45:34,114 | __main__ | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 10:45:34,129 | __main__ | INFO | 'Romance' rmse = 0.928
2025-11-13 10:45:34,133 | __main__ | INFO | 'Romance' r-squared = 0.214
2025-11-13 10:45:34,147 | __main__ | INFO | 'Thriller' rmse = 0.866
2025-11-13 10:45:34,150 | __main__ | INFO | 'Thriller' r-squared = 0.312
2025-11-13 10:45:34,161 | __main__ | INFO | 'Action' rmse = 0.875
2025-11-13 10:45:34,168 | __main__ | INFO | 'Action' r-squared = 0.339
2025-11-13 10:45:34,177 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:45:34,181 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:45:34,191 | __main__ | INFO | 'Western' rmse = 0.89
2025-11-13 10:45:34,195 | __main__ | INFO | 'Western' r-squared = 0.266
2025-11-13 10:45:34,209 | __main__ | INFO | 'History' rmse = 0.823
2025-11-13 10:45:34,213 | __main__ | INFO | 'History' r-squared = 0.189
2025-11-13 10:45:34,232 | __main__ | INFO | 'Family' rmse = 0.937
2025-11-13 10:45:34,236 | __main__ | INFO | 'Family' r-squared = 0.222
2025-11-13 10:45:34,247 | __main__ | INFO | 'Crime' rmse = 0.851
2025-11-13 10:45:34,253 | __main__ | INFO | 'Crime' r-squared = 0.312
2025-11-13 10:45:34,261 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:45:34,263 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:45:34,278 | __main__ | INFO | 'Adventure' rmse = 0.886
2025-11-13 10:45:34,281 | __main__ | INFO | 'Adventure' r-squared = 0.315
2025-11-13 10:45:34,289 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:45:34,293 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:45:34,304 | __main__ | INFO | 'Documentary' rmse = Insufficient Data
2025-11-13 10:45:34,308 | __main__ | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-13 10:45:34,324 | __main__ | INFO | 'Music' rmse = 1.006
2025-11-13 10:45:34,328 | __main__ | INFO | 'Music' r-squared = 0.217
2025-11-13 10:45:34,341 | __main__ | INFO | 'Animation' rmse = 0.906
2025-11-13 10:45:34,349 | __main__ | INFO | 'Animation' r-squared = 0.199
2025-11-13 10:45:34,366 | __main__ | INFO | 'Drama' rmse = 0.886
2025-11-13 10:45:34,372 | __main__ | INFO | 'Drama' r-squared = 0.225
2025-11-13 10:45:34,388 | __main__ | INFO | 'War' rmse = 0.873
2025-11-13 10:45:34,390 | __main__ | INFO | 'War' r-squared = 0.283
2025-11-13 10:45:34,406 | __main__ | INFO | 'Fantasy' rmse = 0.909
2025-11-13 10:45:34,409 | __main__ | INFO | 'Fantasy' r-squared = 0.282
2025-11-13 10:45:34,425 | __main__ | INFO | 'Horror' rmse = 0.964
2025-11-13 10:45:34,427 | __main__ | INFO | 'Horror' r-squared = 0.279
2025-11-13 10:45:34,450 | __main__ | INFO | 'Comedy' rmse = 0.923
2025-11-13 10:45:34,458 | __main__ | INFO | 'Comedy' r-squared = 0.251
2025-11-13 10:45:34,467 | __main__ | INFO | 'Mystery' rmse = 0.852
2025-11-13 10:45:34,472 | __main__ | INFO | 'Mystery' r-squared = 0.315
2025-11-13 10:45:34,484 | __main__ | INFO | 'Science Fiction' rmse = 0.885
2025-11-13 10:45:34,487 | __main__ | INFO | 'Science Fiction' r-squared = 0.325
2025-11-13 10:45:35,628 | __main__ | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 10:45:35,632 | __main__ | INFO | Evaluation of SVD model complete!
2025-11-13 10:45:35,636 | __main__ | INFO | Logging SVD model in W&B...
2025-11-13 10:45:37,052 | __main__ | INFO | SVD model successfully logged!
