2025-11-13 10:53:09,664 | __main__ | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-13 10:53:09,667 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:53:14,231 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (156680, 4)
2025-11-13 10:53:14,247 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:53:14,250 | __main__ | INFO | Training SVD model...
2025-11-13 10:53:14,899 | __main__ | INFO | SVD model successfully trained!
2025-11-13 10:53:14,905 | __main__ | INFO | Evaluating SVD model...
2025-11-13 10:53:14,977 | __main__ | INFO | ### Model Performance Metrics (Overall): ###
2025-11-13 10:53:14,981 | __main__ | INFO | RMSE: 0.897
2025-11-13 10:53:14,985 | __main__ | INFO | squared: 0.273
2025-11-13 10:53:15,190 | __main__ | INFO | Loading in 'genres' table...
2025-11-13 10:53:15,398 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:53:15,555 | __main__ | INFO | Table successfully loaded!
2025-11-13 10:53:15,567 | __main__ | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-13 10:53:15,577 | __main__ | INFO | 'Fantasy' rmse = 0.909
2025-11-13 10:53:15,580 | __main__ | INFO | 'Fantasy' r-squared = 0.282
2025-11-13 10:53:15,589 | __main__ | INFO | 'Music' rmse = 1.006
2025-11-13 10:53:15,592 | __main__ | INFO | 'Music' r-squared = 0.217
2025-11-13 10:53:15,604 | __main__ | INFO | 'Drama' rmse = 0.886
2025-11-13 10:53:15,607 | __main__ | INFO | 'Drama' r-squared = 0.225
2025-11-13 10:53:15,618 | __main__ | INFO | 'Romance' rmse = 0.928
2025-11-13 10:53:15,622 | __main__ | INFO | 'Romance' r-squared = 0.214
2025-11-13 10:53:15,631 | __main__ | INFO | 'Comedy' rmse = 0.923
2025-11-13 10:53:15,633 | __main__ | INFO | 'Comedy' r-squared = 0.251
2025-11-13 10:53:15,647 | __main__ | INFO | 'Adventure' rmse = 0.886
2025-11-13 10:53:15,650 | __main__ | INFO | 'Adventure' r-squared = 0.315
2025-11-13 10:53:15,661 | __main__ | INFO | 'Science Fiction' rmse = 0.885
2025-11-13 10:53:15,665 | __main__ | INFO | 'Science Fiction' r-squared = 0.325
2025-11-13 10:53:15,675 | __main__ | INFO | 'Mystery' rmse = 0.852
2025-11-13 10:53:15,677 | __main__ | INFO | 'Mystery' r-squared = 0.315
2025-11-13 10:53:15,685 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:53:15,688 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:53:15,700 | __main__ | INFO | 'Crime' rmse = 0.851
2025-11-13 10:53:15,704 | __main__ | INFO | 'Crime' r-squared = 0.312
2025-11-13 10:53:15,718 | __main__ | INFO | 'Family' rmse = 0.937
2025-11-13 10:53:15,722 | __main__ | INFO | 'Family' r-squared = 0.222
2025-11-13 10:53:15,732 | __main__ | INFO | 'Action' rmse = 0.875
2025-11-13 10:53:15,734 | __main__ | INFO | 'Action' r-squared = 0.339
2025-11-13 10:53:15,745 | __main__ | INFO | 'Western' rmse = 0.89
2025-11-13 10:53:15,748 | __main__ | INFO | 'Western' r-squared = 0.266
2025-11-13 10:53:15,758 | __main__ | INFO | 'War' rmse = 0.873
2025-11-13 10:53:15,762 | __main__ | INFO | 'War' r-squared = 0.283
2025-11-13 10:53:15,772 | __main__ | INFO | 'Thriller' rmse = 0.866
2025-11-13 10:53:15,774 | __main__ | INFO | 'Thriller' r-squared = 0.312
2025-11-13 10:53:15,786 | __main__ | INFO | 'Horror' rmse = 0.964
2025-11-13 10:53:15,790 | __main__ | INFO | 'Horror' r-squared = 0.279
2025-11-13 10:53:15,798 | __main__ | INFO | 'Documentary' rmse = Insufficient Data
2025-11-13 10:53:15,801 | __main__ | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-13 10:53:15,808 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:53:15,812 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:53:15,820 | __main__ | INFO | 'History' rmse = 0.823
2025-11-13 10:53:15,824 | __main__ | INFO | 'History' r-squared = 0.189
2025-11-13 10:53:15,831 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:53:15,835 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:53:15,844 | __main__ | INFO | 'Animation' rmse = 0.906
2025-11-13 10:53:15,849 | __main__ | INFO | 'Animation' r-squared = 0.199
2025-11-13 10:53:17,057 | __main__ | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-13 10:53:17,062 | __main__ | INFO | Evaluation of SVD model complete!
2025-11-13 10:53:17,066 | __main__ | INFO | Logging SVD model in W&B...
2025-11-13 10:53:18,384 | __main__ | INFO | SVD model successfully logged!
