2025-11-13 10:53:30,190 | __main__ | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-13 10:53:30,192 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 10:53:37,407 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (156680, 4)
2025-11-13 10:53:37,427 | __main__ | INFO | Data successfully loaded!
2025-11-13 10:53:37,431 | __main__ | INFO | Number of 'existing' users: 506 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-13 10:53:37,434 | __main__ | INFO | Number of 'New' users: 61 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-13 10:53:37,437 | __main__ | INFO | Ratings data loaded successfully.
2025-11-13 10:53:38,886 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 10:53:39,050 | __main__ | INFO | Genres table loaded successfully.
2025-11-13 10:53:39,055 | __main__ | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-13 10:53:40,009 | __main__ | INFO | Model successfully loaded!
2025-11-13 10:53:40,012 | __main__ | INFO | Model imported successfully.
2025-11-13 10:53:40,015 | __main__ | INFO | Scoring for 'existing' users...
2025-11-13 10:54:01,124 | __main__ | INFO | Scoring complete for 'existing' users!
2025-11-13 10:54:01,166 | __main__ | INFO | Rankings for existing users generated successfully.
2025-11-13 10:54:01,168 | __main__ | INFO | Scoring for 'new' users...
2025-11-13 10:54:01,202 | __main__ | INFO | Scoring complete for 'new' users!
2025-11-13 10:54:01,206 | __main__ | INFO | Rankings for new users generated successfully.
2025-11-13 10:54:01,209 | __main__ | INFO | Simulating interactions for 'existing' users...
2025-11-13 10:54:04,024 | __main__ | INFO | Simulation of 'existing' users complete!
2025-11-13 10:54:04,028 | __main__ | INFO | New interactions for existing users simulated successfully.
2025-11-13 10:54:04,034 | __main__ | INFO | Simulating interactions for 'new' users...
2025-11-13 10:54:04,310 | __main__ | INFO | Simulation of 'new' users complete!
2025-11-13 10:54:04,313 | __main__ | INFO | New interactions for new users simulated successfully.
2025-11-13 10:54:04,315 | __main__ | INFO | Updating ratings table...
2025-11-13 10:54:10,026 | film_recommender_cg.db_connector | INFO | Inserted 5860 documents into 'ratings'.
2025-11-13 10:54:10,031 | __main__ | INFO | Ratings table updated.
2025-11-13 10:54:10,035 | __main__ | INFO | Ratings table updated successfully.
2025-11-13 10:54:10,043 | __main__ | INFO | All processing completed successfully.
2025-11-13 10:54:13,042 | __main__ | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-13 10:54:13,045 | __main__ | INFO | Fantasy = 6.4
2025-11-13 10:54:13,050 | __main__ | INFO | Music = 3.8
2025-11-13 10:54:13,052 | __main__ | INFO | Drama = 65.3
2025-11-13 10:54:13,055 | __main__ | INFO | Romance = 21.4
2025-11-13 10:54:13,057 | __main__ | INFO | Comedy = 30.0
2025-11-13 10:54:13,061 | __main__ | INFO | Adventure = 9.6
2025-11-13 10:54:13,065 | __main__ | INFO | Science Fiction = 6.4
2025-11-13 10:54:13,068 | __main__ | INFO | Mystery = 9.6
2025-11-13 10:54:13,070 | __main__ | INFO | Undisclosed = 0.0
2025-11-13 10:54:13,073 | __main__ | INFO | Crime = 15.6
2025-11-13 10:54:13,077 | __main__ | INFO | Family = 5.4
2025-11-13 10:54:13,082 | __main__ | INFO | Action = 13.0
2025-11-13 10:54:13,087 | __main__ | INFO | Western = 3.2
2025-11-13 10:54:13,093 | __main__ | INFO | War = 6.0
2025-11-13 10:54:13,097 | __main__ | INFO | Thriller = 20.4
2025-11-13 10:54:13,100 | __main__ | INFO | Horror = 5.6
2025-11-13 10:54:13,103 | __main__ | INFO | Documentary = 3.9
2025-11-13 10:54:13,107 | __main__ | INFO | Foreign = 1.6
2025-11-13 10:54:13,111 | __main__ | INFO | History = 3.7
2025-11-13 10:54:13,114 | __main__ | INFO | TV Movie = 0.2
2025-11-13 10:54:13,116 | __main__ | INFO | Animation = 2.7
2025-11-13 10:54:14,310 | __main__ | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-13 10:54:14,560 | __main__ | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-13 10:54:14,563 | __main__ | INFO | Fantasy = 16.4
2025-11-13 10:54:14,566 | __main__ | INFO | Music = 2.0
2025-11-13 10:54:14,570 | __main__ | INFO | Drama = 43.7
2025-11-13 10:54:14,572 | __main__ | INFO | Romance = 13.0
2025-11-13 10:54:14,577 | __main__ | INFO | Comedy = 26.6
2025-11-13 10:54:14,580 | __main__ | INFO | Adventure = 29.6
2025-11-13 10:54:14,583 | __main__ | INFO | Science Fiction = 20.6
2025-11-13 10:54:14,586 | __main__ | INFO | Mystery = 7.9
2025-11-13 10:54:14,588 | __main__ | INFO | Undisclosed = 0.0
2025-11-13 10:54:14,593 | __main__ | INFO | Crime = 19.6
2025-11-13 10:54:14,596 | __main__ | INFO | Family = 12.9
2025-11-13 10:54:14,602 | __main__ | INFO | Action = 28.5
2025-11-13 10:54:14,605 | __main__ | INFO | Western = 1.0
2025-11-13 10:54:14,608 | __main__ | INFO | War = 5.0
2025-11-13 10:54:14,612 | __main__ | INFO | Thriller = 26.7
2025-11-13 10:54:14,619 | __main__ | INFO | Horror = 4.1
2025-11-13 10:54:14,623 | __main__ | INFO | Documentary = 0.0
2025-11-13 10:54:14,628 | __main__ | INFO | Foreign = 0.0
2025-11-13 10:54:14,631 | __main__ | INFO | History = 3.9
2025-11-13 10:54:14,634 | __main__ | INFO | TV Movie = 0.0
2025-11-13 10:54:14,637 | __main__ | INFO | Animation = 7.0
2025-11-13 10:54:15,746 | __main__ | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-13 10:54:17,937 | __main__ | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-13 10:54:17,940 | __main__ | INFO | Fantasy = 5.2
2025-11-13 10:54:17,943 | __main__ | INFO | Music = 4.0
2025-11-13 10:54:17,945 | __main__ | INFO | Drama = 67.9
2025-11-13 10:54:17,948 | __main__ | INFO | Romance = 22.4
2025-11-13 10:54:17,951 | __main__ | INFO | Comedy = 30.4
2025-11-13 10:54:17,953 | __main__ | INFO | Adventure = 7.2
2025-11-13 10:54:17,956 | __main__ | INFO | Science Fiction = 4.7
2025-11-13 10:54:17,961 | __main__ | INFO | Mystery = 9.8
2025-11-13 10:54:17,964 | __main__ | INFO | Undisclosed = 0.0
2025-11-13 10:54:17,971 | __main__ | INFO | Crime = 15.1
2025-11-13 10:54:17,975 | __main__ | INFO | Family = 4.4
2025-11-13 10:54:17,977 | __main__ | INFO | Action = 11.2
2025-11-13 10:54:17,981 | __main__ | INFO | Western = 3.4
2025-11-13 10:54:17,984 | __main__ | INFO | War = 6.2
2025-11-13 10:54:17,985 | __main__ | INFO | Thriller = 19.6
2025-11-13 10:54:17,987 | __main__ | INFO | Horror = 5.8
2025-11-13 10:54:17,990 | __main__ | INFO | Documentary = 4.4
2025-11-13 10:54:17,992 | __main__ | INFO | Foreign = 1.8
2025-11-13 10:54:17,995 | __main__ | INFO | History = 3.6
2025-11-13 10:54:18,000 | __main__ | INFO | TV Movie = 0.2
2025-11-13 10:54:18,003 | __main__ | INFO | Animation = 2.2
2025-11-13 10:54:19,196 | __main__ | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-13 10:54:19,296 | __main__ | INFO | ### Coverage for scoring session ('All' users): 50.49% ###
2025-11-13 10:54:21,055 | __main__ | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-13 10:54:21,061 | __main__ | INFO | ### Coverage for scoring session ('New' users): 3.65% ###
2025-11-13 10:54:22,289 | __main__ | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-13 10:54:22,333 | __main__ | INFO | ### Coverage for scoring session ('Existing' users): 48.33% ###
2025-11-13 10:54:23,420 | __main__ | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-13 10:54:24,372 | __main__ | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-13 10:54:25,587 | __main__ | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
2025-11-13 10:54:25,758 | __main__ | INFO | ### Mean diversity score for scoring session ('New'): 0.99 ###
2025-11-13 10:54:27,429 | __main__ | INFO | 'scoring_avg_diversity_score_new_users' successfully logged as artifact in W&B.
2025-11-13 10:54:28,180 | __main__ | INFO | ### Mean diversity score for scoring session ('Existing'): 0.98 ###
2025-11-13 10:54:29,433 | __main__ | INFO | 'scoring_avg_diversity_score_existing_users' successfully logged as artifact in W&B.
2025-11-13 10:54:29,793 | __main__ | INFO | ### Average personalization score ('All'): 0.770 ###
2025-11-13 10:54:30,323 | __main__ | INFO | R² for Personalization vs. Films Rated: 0.037
2025-11-13 10:54:30,326 | __main__ | INFO | Pearson correlation for Personalization vs. Films Rated: 0.192
2025-11-13 10:54:31,440 | __main__ | INFO | 'scoring_avg_personalization_score_all_users' successfully logged as artifact in W&B.
2025-11-13 10:54:31,451 | __main__ | INFO | ### Average personalization score ('New'): 0.013 ###
2025-11-13 10:54:32,404 | __main__ | INFO | R² for Personalization vs. Films Rated: 0.385
2025-11-13 10:54:32,407 | __main__ | INFO | Pearson correlation for Personalization vs. Films Rated: 0.621
2025-11-13 10:54:33,786 | __main__ | INFO | 'scoring_avg_personalization_score_new_users' successfully logged as artifact in W&B.
2025-11-13 10:54:33,986 | __main__ | INFO | ### Average personalization score ('Existing'): 0.732 ###
2025-11-13 10:54:34,515 | __main__ | INFO | R² for Personalization vs. Films Rated: 0.298
2025-11-13 10:54:34,520 | __main__ | INFO | Pearson correlation for Personalization vs. Films Rated: 0.546
2025-11-13 10:54:35,781 | __main__ | INFO | 'scoring_avg_personalization_score_existing_users' successfully logged as artifact in W&B.
2025-11-13 10:54:35,914 | __main__ | INFO | Evaluating model performance on new (simulated) data...
2025-11-13 10:54:35,927 | __main__ | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-13 10:54:35,940 | __main__ | INFO | Overall rmse = 0.547
2025-11-13 10:54:35,942 | __main__ | INFO | Overall r-squared = 0.272
2025-11-13 10:54:35,948 | __main__ | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('All' users): ###
2025-11-13 10:54:35,983 | __main__ | INFO | 'Fantasy' rmse = 0.529
2025-11-13 10:54:35,994 | __main__ | INFO | 'Fantasy' r-squared = 0.353
2025-11-13 10:54:36,002 | __main__ | INFO | 'Music' rmse = 0.545
2025-11-13 10:54:36,007 | __main__ | INFO | 'Music' r-squared = 0.254
2025-11-13 10:54:36,033 | __main__ | INFO | 'Drama' rmse = 0.55
2025-11-13 10:54:36,036 | __main__ | INFO | 'Drama' r-squared = 0.281
2025-11-13 10:54:36,047 | __main__ | INFO | 'Romance' rmse = 0.538
2025-11-13 10:54:36,050 | __main__ | INFO | 'Romance' r-squared = 0.259
2025-11-13 10:54:36,061 | __main__ | INFO | 'Comedy' rmse = 0.54
2025-11-13 10:54:36,062 | __main__ | INFO | 'Comedy' r-squared = 0.287
2025-11-13 10:54:36,069 | __main__ | INFO | 'Adventure' rmse = 0.615
2025-11-13 10:54:36,084 | __main__ | INFO | 'Adventure' r-squared = 0.059
2025-11-13 10:54:36,100 | __main__ | INFO | 'Science Fiction' rmse = 0.576
2025-11-13 10:54:36,104 | __main__ | INFO | 'Science Fiction' r-squared = 0.118
2025-11-13 10:54:36,119 | __main__ | INFO | 'Mystery' rmse = 0.529
2025-11-13 10:54:36,123 | __main__ | INFO | 'Mystery' r-squared = 0.297
2025-11-13 10:54:36,139 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:54:36,143 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:54:36,174 | __main__ | INFO | 'Crime' rmse = 0.546
2025-11-13 10:54:36,177 | __main__ | INFO | 'Crime' r-squared = 0.294
2025-11-13 10:54:36,197 | __main__ | INFO | 'Family' rmse = 0.536
2025-11-13 10:54:36,200 | __main__ | INFO | 'Family' r-squared = 0.26
2025-11-13 10:54:36,219 | __main__ | INFO | 'Action' rmse = 0.665
2025-11-13 10:54:36,243 | __main__ | INFO | 'Action' r-squared = -0.163
2025-11-13 10:54:36,254 | __main__ | INFO | 'Western' rmse = 0.504
2025-11-13 10:54:36,259 | __main__ | INFO | 'Western' r-squared = 0.329
2025-11-13 10:54:36,270 | __main__ | INFO | 'War' rmse = 0.588
2025-11-13 10:54:36,279 | __main__ | INFO | 'War' r-squared = 0.226
2025-11-13 10:54:36,295 | __main__ | INFO | 'Thriller' rmse = 0.573
2025-11-13 10:54:36,309 | __main__ | INFO | 'Thriller' r-squared = 0.225
2025-11-13 10:54:36,324 | __main__ | INFO | 'Horror' rmse = 0.545
2025-11-13 10:54:36,327 | __main__ | INFO | 'Horror' r-squared = 0.208
2025-11-13 10:54:36,335 | __main__ | INFO | 'Documentary' rmse = 0.489
2025-11-13 10:54:36,347 | __main__ | INFO | 'Documentary' r-squared = 0.307
2025-11-13 10:54:36,356 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:54:36,359 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:54:36,395 | __main__ | INFO | 'History' rmse = 0.59
2025-11-13 10:54:36,398 | __main__ | INFO | 'History' r-squared = 0.172
2025-11-13 10:54:36,412 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:54:36,414 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:54:36,439 | __main__ | INFO | 'Animation' rmse = 0.534
2025-11-13 10:54:36,443 | __main__ | INFO | 'Animation' r-squared = 0.196
2025-11-13 10:54:37,573 | __main__ | INFO | 'scoring_performance_metrics_all_users' successfully logged as artifact in W&B.
2025-11-13 10:54:37,578 | __main__ | INFO | Evaluation complete!
2025-11-13 10:54:37,582 | __main__ | INFO | Evaluating model performance on new (simulated) data...
2025-11-13 10:54:37,588 | __main__ | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-13 10:54:37,592 | __main__ | INFO | Overall rmse = 0.544
2025-11-13 10:54:37,596 | __main__ | INFO | Overall r-squared = 0.091
2025-11-13 10:54:37,603 | __main__ | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('New' users): ###
2025-11-13 10:54:37,610 | __main__ | INFO | 'Fantasy' rmse = Insufficient Data
2025-11-13 10:54:37,612 | __main__ | INFO | 'Fantasy' r-squared = Insufficient Data
2025-11-13 10:54:37,617 | __main__ | INFO | 'Music' rmse = Insufficient Data
2025-11-13 10:54:37,623 | __main__ | INFO | 'Music' r-squared = Insufficient Data
2025-11-13 10:54:37,636 | __main__ | INFO | 'Drama' rmse = 0.501
2025-11-13 10:54:37,638 | __main__ | INFO | 'Drama' r-squared = 0.076
2025-11-13 10:54:37,644 | __main__ | INFO | 'Romance' rmse = Insufficient Data
2025-11-13 10:54:37,652 | __main__ | INFO | 'Romance' r-squared = Insufficient Data
2025-11-13 10:54:37,660 | __main__ | INFO | 'Comedy' rmse = 0.51
2025-11-13 10:54:37,666 | __main__ | INFO | 'Comedy' r-squared = 0.024
2025-11-13 10:54:37,677 | __main__ | INFO | 'Adventure' rmse = 0.611
2025-11-13 10:54:37,682 | __main__ | INFO | 'Adventure' r-squared = -0.172
2025-11-13 10:54:37,692 | __main__ | INFO | 'Science Fiction' rmse = 0.584
2025-11-13 10:54:37,695 | __main__ | INFO | 'Science Fiction' r-squared = -0.171
2025-11-13 10:54:37,704 | __main__ | INFO | 'Mystery' rmse = Insufficient Data
2025-11-13 10:54:37,707 | __main__ | INFO | 'Mystery' r-squared = Insufficient Data
2025-11-13 10:54:37,711 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:54:37,714 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:54:37,724 | __main__ | INFO | 'Crime' rmse = 0.519
2025-11-13 10:54:37,728 | __main__ | INFO | 'Crime' r-squared = 0.083
2025-11-13 10:54:37,740 | __main__ | INFO | 'Family' rmse = Insufficient Data
2025-11-13 10:54:37,747 | __main__ | INFO | 'Family' r-squared = Insufficient Data
2025-11-13 10:54:37,767 | __main__ | INFO | 'Action' rmse = 0.626
2025-11-13 10:54:37,769 | __main__ | INFO | 'Action' r-squared = -0.277
2025-11-13 10:54:37,775 | __main__ | INFO | 'Western' rmse = Insufficient Data
2025-11-13 10:54:37,779 | __main__ | INFO | 'Western' r-squared = Insufficient Data
2025-11-13 10:54:37,787 | __main__ | INFO | 'War' rmse = Insufficient Data
2025-11-13 10:54:37,792 | __main__ | INFO | 'War' r-squared = Insufficient Data
2025-11-13 10:54:37,802 | __main__ | INFO | 'Thriller' rmse = 0.538
2025-11-13 10:54:37,806 | __main__ | INFO | 'Thriller' r-squared = 0.162
2025-11-13 10:54:37,811 | __main__ | INFO | 'Horror' rmse = Insufficient Data
2025-11-13 10:54:37,815 | __main__ | INFO | 'Horror' r-squared = Insufficient Data
2025-11-13 10:54:37,820 | __main__ | INFO | 'Documentary' rmse = Insufficient Data
2025-11-13 10:54:37,824 | __main__ | INFO | 'Documentary' r-squared = Insufficient Data
2025-11-13 10:54:37,830 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:54:37,834 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:54:37,841 | __main__ | INFO | 'History' rmse = Insufficient Data
2025-11-13 10:54:37,846 | __main__ | INFO | 'History' r-squared = Insufficient Data
2025-11-13 10:54:37,852 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:54:37,860 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:54:37,865 | __main__ | INFO | 'Animation' rmse = Insufficient Data
2025-11-13 10:54:37,868 | __main__ | INFO | 'Animation' r-squared = Insufficient Data
2025-11-13 10:54:38,907 | __main__ | INFO | 'scoring_performance_metrics_new_users' successfully logged as artifact in W&B.
2025-11-13 10:54:38,909 | __main__ | INFO | Evaluation complete!
2025-11-13 10:54:38,912 | __main__ | INFO | Evaluating model performance on new (simulated) data...
2025-11-13 10:54:38,927 | __main__ | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-13 10:54:38,931 | __main__ | INFO | Overall rmse = 0.548
2025-11-13 10:54:38,933 | __main__ | INFO | Overall r-squared = 0.286
2025-11-13 10:54:38,940 | __main__ | INFO | ### Following recent batch of simulated interactions, current model performance metrics ('Existing' users): ###
2025-11-13 10:54:38,951 | __main__ | INFO | 'Fantasy' rmse = 0.522
2025-11-13 10:54:38,961 | __main__ | INFO | 'Fantasy' r-squared = 0.424
2025-11-13 10:54:38,968 | __main__ | INFO | 'Music' rmse = 0.545
2025-11-13 10:54:38,971 | __main__ | INFO | 'Music' r-squared = 0.254
2025-11-13 10:54:38,984 | __main__ | INFO | 'Drama' rmse = 0.554
2025-11-13 10:54:38,989 | __main__ | INFO | 'Drama' r-squared = 0.279
2025-11-13 10:54:39,002 | __main__ | INFO | 'Romance' rmse = 0.538
2025-11-13 10:54:39,006 | __main__ | INFO | 'Romance' r-squared = 0.269
2025-11-13 10:54:39,016 | __main__ | INFO | 'Comedy' rmse = 0.543
2025-11-13 10:54:39,018 | __main__ | INFO | 'Comedy' r-squared = 0.299
2025-11-13 10:54:39,034 | __main__ | INFO | 'Adventure' rmse = 0.619
2025-11-13 10:54:39,037 | __main__ | INFO | 'Adventure' r-squared = 0.181
2025-11-13 10:54:39,052 | __main__ | INFO | 'Science Fiction' rmse = 0.569
2025-11-13 10:54:39,058 | __main__ | INFO | 'Science Fiction' r-squared = 0.304
2025-11-13 10:54:39,074 | __main__ | INFO | 'Mystery' rmse = 0.528
2025-11-13 10:54:39,082 | __main__ | INFO | 'Mystery' r-squared = 0.316
2025-11-13 10:54:39,093 | __main__ | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-13 10:54:39,097 | __main__ | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-13 10:54:39,115 | __main__ | INFO | 'Crime' rmse = 0.551
2025-11-13 10:54:39,119 | __main__ | INFO | 'Crime' r-squared = 0.268
2025-11-13 10:54:39,129 | __main__ | INFO | 'Family' rmse = 0.537
2025-11-13 10:54:39,136 | __main__ | INFO | 'Family' r-squared = 0.3
2025-11-13 10:54:39,144 | __main__ | INFO | 'Action' rmse = 0.68
2025-11-13 10:54:39,149 | __main__ | INFO | 'Action' r-squared = -0.172
2025-11-13 10:54:39,157 | __main__ | INFO | 'Western' rmse = 0.505
2025-11-13 10:54:39,160 | __main__ | INFO | 'Western' r-squared = 0.328
2025-11-13 10:54:39,172 | __main__ | INFO | 'War' rmse = 0.601
2025-11-13 10:54:39,176 | __main__ | INFO | 'War' r-squared = 0.211
2025-11-13 10:54:39,204 | __main__ | INFO | 'Thriller' rmse = 0.579
2025-11-13 10:54:39,208 | __main__ | INFO | 'Thriller' r-squared = 0.219
2025-11-13 10:54:39,224 | __main__ | INFO | 'Horror' rmse = 0.545
2025-11-13 10:54:39,228 | __main__ | INFO | 'Horror' r-squared = 0.208
2025-11-13 10:54:39,247 | __main__ | INFO | 'Documentary' rmse = 0.489
2025-11-13 10:54:39,254 | __main__ | INFO | 'Documentary' r-squared = 0.307
2025-11-13 10:54:39,260 | __main__ | INFO | 'Foreign' rmse = Insufficient Data
2025-11-13 10:54:39,266 | __main__ | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-13 10:54:39,279 | __main__ | INFO | 'History' rmse = 0.614
2025-11-13 10:54:39,283 | __main__ | INFO | 'History' r-squared = 0.127
2025-11-13 10:54:39,291 | __main__ | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-13 10:54:39,299 | __main__ | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-13 10:54:39,307 | __main__ | INFO | 'Animation' rmse = Insufficient Data
2025-11-13 10:54:39,316 | __main__ | INFO | 'Animation' r-squared = Insufficient Data
2025-11-13 10:54:40,422 | __main__ | INFO | 'scoring_performance_metrics_existing_users' successfully logged as artifact in W&B.
2025-11-13 10:54:40,425 | __main__ | INFO | Evaluation complete!
