2025-11-13 11:15:01,536 | __main__ | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-13 11:15:01,542 | __main__ | INFO | Loading in 'ratings' data...
2025-11-13 11:15:09,183 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (162540, 4)
2025-11-13 11:15:09,201 | __main__ | INFO | Data successfully loaded!
2025-11-13 11:15:09,206 | __main__ | INFO | Number of 'existing' users: 506 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-13 11:15:09,208 | __main__ | INFO | Number of 'New' users: 61 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-13 11:15:09,210 | __main__ | INFO | Ratings data loaded successfully.
2025-11-13 11:15:09,489 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-13 11:15:09,815 | __main__ | INFO | Genres table loaded successfully.
2025-11-13 11:15:09,819 | __main__ | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-13 11:15:11,425 | __main__ | INFO | Model successfully loaded!
2025-11-13 11:15:11,431 | __main__ | INFO | Model imported successfully.
2025-11-13 11:15:11,434 | __main__ | INFO | Scoring for 'existing' users...
2025-11-13 11:15:30,849 | __main__ | INFO | Scoring complete for 'existing' users!
2025-11-13 11:15:30,882 | __main__ | INFO | Rankings for existing users generated successfully.
2025-11-13 11:15:30,885 | __main__ | INFO | Scoring for 'new' users...
2025-11-13 11:15:30,915 | __main__ | INFO | Scoring complete for 'new' users!
2025-11-13 11:15:30,918 | __main__ | INFO | Rankings for new users generated successfully.
2025-11-13 11:15:30,919 | __main__ | INFO | Simulating interactions for 'existing' users...
2025-11-13 11:15:33,630 | __main__ | INFO | Simulation of 'existing' users complete!
2025-11-13 11:15:33,635 | __main__ | INFO | New interactions for existing users simulated successfully.
2025-11-13 11:15:33,637 | __main__ | INFO | Simulating interactions for 'new' users...
2025-11-13 11:15:33,932 | __main__ | INFO | Simulation of 'new' users complete!
2025-11-13 11:15:33,935 | __main__ | INFO | New interactions for new users simulated successfully.
2025-11-13 11:15:33,937 | __main__ | INFO | Updating ratings table...
2025-11-13 11:15:39,510 | film_recommender_cg.db_connector | INFO | Inserted 5860 documents into 'ratings'.
2025-11-13 11:15:39,519 | __main__ | INFO | Ratings table updated.
2025-11-13 11:15:39,525 | __main__ | INFO | Ratings table updated successfully.
2025-11-13 11:15:39,535 | __main__ | INFO | All processing completed successfully.
2025-11-13 11:15:42,705 | __main__ | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-13 11:15:42,732 | __main__ | INFO | Fantasy = 5.8
