2025-11-14 09:50:58,100 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-14 09:50:58,108 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-14 09:51:03,515 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-14 09:51:03,557 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-14 09:51:03,561 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-14 09:51:05,776 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-14 09:51:05,784 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-14 09:51:06,086 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-14 09:51:06,089 | film_recommender_cg.trainer | INFO | RMSE: 0.873
2025-11-14 09:51:06,091 | film_recommender_cg.trainer | INFO | squared: 0.297
2025-11-14 09:51:06,285 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-14 09:51:09,494 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-14 09:51:09,673 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-14 09:51:09,687 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-14 09:51:09,704 | film_recommender_cg.trainer | INFO | 'Western' rmse = 0.881
2025-11-14 09:51:09,710 | film_recommender_cg.trainer | INFO | 'Western' r-squared = 0.323
2025-11-14 09:51:09,732 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-14 09:51:09,736 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-14 09:51:09,758 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.83
2025-11-14 09:51:09,762 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-14 09:51:09,784 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.889
2025-11-14 09:51:09,793 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.269
2025-11-14 09:51:09,811 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.817
2025-11-14 09:51:09,814 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.34
2025-11-14 09:51:09,827 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-14 09:51:09,830 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-14 09:51:09,855 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.856
2025-11-14 09:51:09,858 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.26
2025-11-14 09:51:09,874 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.961
2025-11-14 09:51:09,879 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.289
2025-11-14 09:51:09,901 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.826
2025-11-14 09:51:09,906 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.238
2025-11-14 09:51:09,926 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-14 09:51:09,930 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-14 09:51:09,951 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.844
2025-11-14 09:51:09,955 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.238
2025-11-14 09:51:09,972 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.857
2025-11-14 09:51:09,976 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-14 09:51:09,995 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.849
2025-11-14 09:51:09,998 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.345
