2025-11-14 09:51:58,907 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-14 09:51:58,909 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-14 09:52:44,304 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-14 09:52:44,329 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-14 09:52:44,331 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-14 09:52:44,333 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-14 09:52:44,334 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-14 09:52:48,387 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-14 09:52:48,485 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-14 09:52:48,487 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-14 09:52:49,379 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-14 09:52:49,382 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-14 09:52:49,384 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-14 09:54:02,724 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-14 09:54:02,842 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-14 09:54:02,845 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-14 09:54:02,897 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-14 09:54:02,901 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-14 09:54:02,903 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-14 09:54:14,697 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-14 09:54:14,708 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-14 09:54:14,712 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-14 09:54:17,334 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-14 09:54:17,338 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-14 09:54:17,345 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-14 09:54:31,148 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-14 09:54:31,152 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-14 09:54:31,158 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-14 09:54:31,161 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-14 09:54:37,770 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-14 09:54:37,773 | film_recommender_cg.scorer | INFO | Western = 3.4
2025-11-14 09:54:37,775 | film_recommender_cg.scorer | INFO | Science Fiction = 6.3
2025-11-14 09:54:37,778 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-14 09:54:37,783 | film_recommender_cg.scorer | INFO | Family = 3.9
2025-11-14 09:54:37,787 | film_recommender_cg.scorer | INFO | Crime = 13.4
2025-11-14 09:54:37,789 | film_recommender_cg.scorer | INFO | Foreign = 2.2
2025-11-14 09:54:37,792 | film_recommender_cg.scorer | INFO | Drama = 68.9
2025-11-14 09:54:37,795 | film_recommender_cg.scorer | INFO | Horror = 4.7
2025-11-14 09:54:37,797 | film_recommender_cg.scorer | INFO | History = 6.1
2025-11-14 09:54:37,799 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-14 09:54:37,801 | film_recommender_cg.scorer | INFO | Animation = 1.9
2025-11-14 09:54:37,808 | film_recommender_cg.scorer | INFO | Adventure = 9.2
2025-11-14 09:54:37,817 | film_recommender_cg.scorer | INFO | Action = 12.1
2025-11-14 09:54:37,825 | film_recommender_cg.scorer | INFO | Thriller = 19.0
2025-11-14 09:54:37,836 | film_recommender_cg.scorer | INFO | Comedy = 28.1
2025-11-14 09:54:37,842 | film_recommender_cg.scorer | INFO | Music = 3.8
2025-11-14 09:54:37,857 | film_recommender_cg.scorer | INFO | War = 9.7
2025-11-14 09:54:37,861 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-14 09:54:37,863 | film_recommender_cg.scorer | INFO | Romance = 18.9
2025-11-14 09:54:37,866 | film_recommender_cg.scorer | INFO | Documentary = 4.0
2025-11-14 09:54:37,871 | film_recommender_cg.scorer | INFO | Fantasy = 5.5
2025-11-14 09:54:39,164 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-14 09:54:39,909 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-14 09:54:39,911 | film_recommender_cg.scorer | INFO | Western = 1.0
2025-11-14 09:54:39,914 | film_recommender_cg.scorer | INFO | Science Fiction = 20.6
2025-11-14 09:54:39,916 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-14 09:54:39,919 | film_recommender_cg.scorer | INFO | Family = 13.9
2025-11-14 09:54:39,921 | film_recommender_cg.scorer | INFO | Crime = 19.2
2025-11-14 09:54:39,924 | film_recommender_cg.scorer | INFO | Foreign = 0.0
2025-11-14 09:54:39,927 | film_recommender_cg.scorer | INFO | Drama = 43.4
2025-11-14 09:54:39,930 | film_recommender_cg.scorer | INFO | Horror = 4.0
2025-11-14 09:54:39,933 | film_recommender_cg.scorer | INFO | History = 3.9
2025-11-14 09:54:39,940 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-14 09:54:39,942 | film_recommender_cg.scorer | INFO | Animation = 6.9
2025-11-14 09:54:39,951 | film_recommender_cg.scorer | INFO | Adventure = 29.6
2025-11-14 09:54:39,963 | film_recommender_cg.scorer | INFO | Action = 30.6
2025-11-14 09:54:39,967 | film_recommender_cg.scorer | INFO | Thriller = 27.7
2025-11-14 09:54:39,970 | film_recommender_cg.scorer | INFO | Comedy = 25.0
2025-11-14 09:54:39,978 | film_recommender_cg.scorer | INFO | Music = 1.0
2025-11-14 09:54:39,984 | film_recommender_cg.scorer | INFO | War = 4.9
2025-11-14 09:54:39,990 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-14 09:54:39,995 | film_recommender_cg.scorer | INFO | Romance = 14.6
2025-11-14 09:54:39,997 | film_recommender_cg.scorer | INFO | Documentary = 0.0
2025-11-14 09:54:40,001 | film_recommender_cg.scorer | INFO | Fantasy = 18.0
2025-11-14 09:54:41,101 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_new_users' successfully logged as artifact in W&B.
2025-11-14 09:54:47,375 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (existing users): ###
2025-11-14 09:54:47,377 | film_recommender_cg.scorer | INFO | Western = 3.7
2025-11-14 09:54:47,378 | film_recommender_cg.scorer | INFO | Science Fiction = 4.3
2025-11-14 09:54:47,380 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-14 09:54:47,382 | film_recommender_cg.scorer | INFO | Family = 2.5
2025-11-14 09:54:47,386 | film_recommender_cg.scorer | INFO | Crime = 12.5
2025-11-14 09:54:47,388 | film_recommender_cg.scorer | INFO | Foreign = 2.5
2025-11-14 09:54:47,390 | film_recommender_cg.scorer | INFO | Drama = 72.5
2025-11-14 09:54:47,392 | film_recommender_cg.scorer | INFO | Horror = 4.9
2025-11-14 09:54:47,395 | film_recommender_cg.scorer | INFO | History = 6.4
2025-11-14 09:54:47,397 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-14 09:54:47,399 | film_recommender_cg.scorer | INFO | Animation = 1.1
2025-11-14 09:54:47,402 | film_recommender_cg.scorer | INFO | Adventure = 6.4
2025-11-14 09:54:47,405 | film_recommender_cg.scorer | INFO | Action = 9.4
2025-11-14 09:54:47,409 | film_recommender_cg.scorer | INFO | Thriller = 17.8
2025-11-14 09:54:47,411 | film_recommender_cg.scorer | INFO | Comedy = 28.5
2025-11-14 09:54:47,416 | film_recommender_cg.scorer | INFO | Music = 4.2
2025-11-14 09:54:47,424 | film_recommender_cg.scorer | INFO | War = 10.3
2025-11-14 09:54:47,427 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-14 09:54:47,431 | film_recommender_cg.scorer | INFO | Romance = 19.6
2025-11-14 09:54:47,434 | film_recommender_cg.scorer | INFO | Documentary = 4.5
2025-11-14 09:54:47,436 | film_recommender_cg.scorer | INFO | Fantasy = 3.7
2025-11-14 09:54:48,452 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_existing_users' successfully logged as artifact in W&B.
2025-11-14 09:54:48,631 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 49.94% ###
2025-11-14 09:54:49,771 | film_recommender_cg.scorer | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-14 09:54:49,777 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('New' users): 3.02% ###
2025-11-14 09:54:50,833 | film_recommender_cg.scorer | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-14 09:54:50,911 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('Existing' users): 48.50% ###
2025-11-14 09:54:52,058 | film_recommender_cg.scorer | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-14 09:55:00,200 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-14 09:55:01,585 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
