2025-11-14 11:40:25,818 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-14 11:40:25,822 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-14 11:40:29,485 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-14 11:40:29,567 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-14 11:40:29,570 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-14 11:40:32,231 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-14 11:40:32,240 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-14 11:40:32,617 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-14 11:40:32,620 | film_recommender_cg.trainer | INFO | RMSE: 0.873
2025-11-14 11:40:32,624 | film_recommender_cg.trainer | INFO | squared: 0.297
2025-11-14 11:40:32,854 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-14 11:40:33,081 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-14 11:40:33,264 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-14 11:40:33,277 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-14 11:40:33,296 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.844
2025-11-14 11:40:33,299 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.238
2025-11-14 11:40:33,317 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.849
2025-11-14 11:40:33,319 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.345
2025-11-14 11:40:33,337 | film_recommender_cg.trainer | INFO | 'Western' rmse = 0.881
2025-11-14 11:40:33,340 | film_recommender_cg.trainer | INFO | 'Western' r-squared = 0.323
2025-11-14 11:40:33,355 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.889
2025-11-14 11:40:33,359 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.269
2025-11-14 11:40:33,377 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.93
2025-11-14 11:40:33,386 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-14 11:40:33,402 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.946
2025-11-14 11:40:33,405 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.194
2025-11-14 11:40:33,420 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-14 11:40:33,423 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-14 11:40:33,437 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.846
2025-11-14 11:40:33,441 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.357
2025-11-14 11:40:33,455 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.909
2025-11-14 11:40:33,459 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.24
2025-11-14 11:40:33,472 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-14 11:40:33,478 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-14 11:40:33,497 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.856
2025-11-14 11:40:33,499 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.26
2025-11-14 11:40:33,515 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.857
2025-11-14 11:40:33,519 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-14 11:40:33,535 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.83
2025-11-14 11:40:33,538 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-14 11:40:33,553 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.826
2025-11-14 11:40:33,557 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.238
2025-11-14 11:40:33,569 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-14 11:40:33,572 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-14 11:40:33,593 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.904
2025-11-14 11:40:33,597 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-14 11:40:33,611 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-14 11:40:33,614 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-14 11:40:33,629 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-14 11:40:33,632 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-14 11:40:33,646 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.961
2025-11-14 11:40:33,650 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.289
2025-11-14 11:40:33,666 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.817
2025-11-14 11:40:33,671 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.34
2025-11-14 11:40:33,686 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.834
2025-11-14 11:40:33,689 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-14 11:40:35,015 | film_recommender_cg.trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-14 11:40:35,019 | film_recommender_cg.trainer | INFO | Evaluation of SVD model complete!
2025-11-14 11:40:35,023 | film_recommender_cg.trainer | INFO | Logging SVD model in W&B...
2025-11-14 11:40:36,739 | film_recommender_cg.trainer | INFO | SVD model successfully logged!
