2025-11-14 11:41:21,952 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-14 11:41:21,957 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-14 11:41:25,979 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-14 11:41:26,025 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-14 11:41:26,028 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-14 11:41:26,031 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-14 11:41:26,036 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-14 11:41:26,296 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-14 11:41:26,472 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-14 11:41:26,475 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-14 11:41:27,631 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-14 11:41:27,634 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-14 11:41:27,638 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-14 11:42:53,149 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-14 11:42:53,259 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-14 11:42:53,264 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-14 11:42:53,381 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-14 11:42:53,387 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-14 11:42:53,394 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-14 11:43:02,154 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-14 11:43:02,161 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-14 11:43:02,164 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-14 11:43:03,043 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-14 11:43:03,046 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-14 11:43:03,049 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-14 11:43:13,367 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-14 11:43:13,372 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-14 11:43:13,381 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-14 11:43:13,385 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-14 11:43:21,222 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-14 11:43:21,226 | film_recommender_cg.scorer | INFO | Animation = 1.9
2025-11-14 11:43:21,229 | film_recommender_cg.scorer | INFO | Action = 12.1
2025-11-14 11:43:21,231 | film_recommender_cg.scorer | INFO | Western = 3.4
2025-11-14 11:43:21,233 | film_recommender_cg.scorer | INFO | Family = 3.9
2025-11-14 11:43:21,235 | film_recommender_cg.scorer | INFO | Documentary = 4.0
2025-11-14 11:43:21,237 | film_recommender_cg.scorer | INFO | Music = 3.8
2025-11-14 11:43:21,239 | film_recommender_cg.scorer | INFO | Science Fiction = 6.3
2025-11-14 11:43:21,241 | film_recommender_cg.scorer | INFO | War = 9.7
2025-11-14 11:43:21,243 | film_recommender_cg.scorer | INFO | Romance = 18.9
2025-11-14 11:43:21,245 | film_recommender_cg.scorer | INFO | Undisclosed = 0.1
2025-11-14 11:43:21,251 | film_recommender_cg.scorer | INFO | Drama = 68.9
2025-11-14 11:43:21,254 | film_recommender_cg.scorer | INFO | Adventure = 9.2
2025-11-14 11:43:21,256 | film_recommender_cg.scorer | INFO | Mystery = 8.9
2025-11-14 11:43:21,258 | film_recommender_cg.scorer | INFO | History = 6.1
2025-11-14 11:43:21,260 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-14 11:43:21,262 | film_recommender_cg.scorer | INFO | Comedy = 28.1
2025-11-14 11:43:21,268 | film_recommender_cg.scorer | INFO | Foreign = 2.2
2025-11-14 11:43:21,271 | film_recommender_cg.scorer | INFO | Fantasy = 5.5
2025-11-14 11:43:21,272 | film_recommender_cg.scorer | INFO | Horror = 4.7
2025-11-14 11:43:21,275 | film_recommender_cg.scorer | INFO | Crime = 13.4
2025-11-14 11:43:21,277 | film_recommender_cg.scorer | INFO | Thriller = 19.0
2025-11-14 11:43:22,312 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-14 11:43:23,303 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-14 11:43:23,307 | film_recommender_cg.scorer | INFO | Animation = 6.9
2025-11-14 11:43:23,310 | film_recommender_cg.scorer | INFO | Action = 30.6
2025-11-14 11:43:23,312 | film_recommender_cg.scorer | INFO | Western = 1.0
2025-11-14 11:43:23,316 | film_recommender_cg.scorer | INFO | Family = 13.9
2025-11-14 11:43:23,319 | film_recommender_cg.scorer | INFO | Documentary = 0.0
2025-11-14 11:43:23,322 | film_recommender_cg.scorer | INFO | Music = 1.0
