2025-11-15 09:14:36,097 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-15 09:14:36,101 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-15 09:15:29,642 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-15 09:15:29,691 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-15 09:15:29,693 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-15 09:15:31,571 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-15 09:15:31,593 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-15 09:15:32,232 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-15 09:15:32,236 | film_recommender_cg.trainer | INFO | RMSE: 0.871
2025-11-15 09:15:32,239 | film_recommender_cg.trainer | INFO | squared: 0.303
2025-11-15 09:15:32,465 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-15 09:15:36,702 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-15 09:15:36,818 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-15 09:15:36,834 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-15 09:15:36,845 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.85
2025-11-15 09:15:36,848 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.27
2025-11-15 09:15:36,860 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.905
2025-11-15 09:15:36,862 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.287
2025-11-15 09:15:36,874 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.839
2025-11-15 09:15:36,877 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.273
2025-11-15 09:15:36,892 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.841
2025-11-15 09:15:36,895 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.33
2025-11-15 09:15:36,904 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-15 09:15:36,907 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-15 09:15:36,919 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.835
2025-11-15 09:15:36,921 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.331
2025-11-15 09:15:36,934 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.89
2025-11-15 09:15:36,936 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.291
2025-11-15 09:15:36,948 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.879
2025-11-15 09:15:36,951 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.324
2025-11-15 09:15:36,965 | film_recommender_cg.trainer | INFO | 'Western' rmse = 0.919
2025-11-15 09:15:36,968 | film_recommender_cg.trainer | INFO | 'Western' r-squared = 0.29
2025-11-15 09:15:36,979 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.854
2025-11-15 09:15:36,981 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.256
2025-11-15 09:15:36,994 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.895
2025-11-15 09:15:36,996 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.248
2025-11-15 09:15:37,007 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-15 09:15:37,011 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-15 09:15:37,022 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.835
2025-11-15 09:15:37,025 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.33
2025-11-15 09:15:37,037 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.901
2025-11-15 09:15:37,041 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.272
2025-11-15 09:15:37,052 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.805
2025-11-15 09:15:37,054 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.35
2025-11-15 09:15:37,065 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.922
2025-11-15 09:15:37,068 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.269
2025-11-15 09:15:37,080 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.875
2025-11-15 09:15:37,083 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.316
2025-11-15 09:15:37,096 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.903
2025-11-15 09:15:37,099 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.312
2025-11-15 09:15:37,112 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.922
2025-11-15 09:15:37,115 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.232
2025-11-15 09:15:37,125 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.945
2025-11-15 09:15:37,128 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = 0.038
2025-11-15 09:15:37,137 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-15 09:15:37,140 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-15 09:15:38,486 | film_recommender_cg.trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-15 09:15:38,489 | film_recommender_cg.trainer | INFO | Evaluation of SVD model complete!
2025-11-15 09:15:38,491 | film_recommender_cg.trainer | INFO | Logging SVD model in W&B...
2025-11-15 09:15:40,191 | film_recommender_cg.trainer | INFO | SVD model successfully logged!
