2025-11-15 09:16:26,051 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-15 09:16:26,053 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-15 09:17:30,563 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-15 09:17:30,603 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-15 09:17:30,607 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-15 09:17:30,610 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-15 09:17:30,613 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-15 09:17:33,693 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-15 09:17:33,880 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-15 09:17:33,884 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-15 09:17:35,031 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-15 09:17:35,033 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-15 09:17:35,035 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-15 09:19:08,406 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-15 09:19:08,568 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-15 09:19:08,571 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-15 09:19:08,645 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-15 09:19:08,648 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-15 09:19:08,652 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-15 09:19:19,766 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-15 09:19:19,778 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-15 09:19:19,783 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-15 09:19:21,994 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-15 09:19:21,998 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-15 09:19:22,000 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-15 09:19:32,364 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-15 09:19:32,372 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-15 09:19:32,388 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-15 09:19:32,394 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-15 09:19:40,102 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-15 09:19:40,105 | film_recommender_cg.scorer | INFO | Drama = 67.2
2025-11-15 09:19:40,108 | film_recommender_cg.scorer | INFO | Fantasy = 5.6
2025-11-15 09:19:40,111 | film_recommender_cg.scorer | INFO | Animation = 1.7
2025-11-15 09:19:40,113 | film_recommender_cg.scorer | INFO | Thriller = 18.0
2025-11-15 09:19:40,116 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-15 09:19:40,119 | film_recommender_cg.scorer | INFO | War = 8.7
2025-11-15 09:19:40,123 | film_recommender_cg.scorer | INFO | Family = 4.4
2025-11-15 09:19:40,129 | film_recommender_cg.scorer | INFO | Action = 10.8
2025-11-15 09:19:40,131 | film_recommender_cg.scorer | INFO | Western = 2.6
2025-11-15 09:19:40,134 | film_recommender_cg.scorer | INFO | History = 6.0
2025-11-15 09:19:40,138 | film_recommender_cg.scorer | INFO | Romance = 20.3
2025-11-15 09:19:40,141 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-15 09:19:40,144 | film_recommender_cg.scorer | INFO | Mystery = 9.0
2025-11-15 09:19:40,146 | film_recommender_cg.scorer | INFO | Comedy = 29.0
2025-11-15 09:19:40,147 | film_recommender_cg.scorer | INFO | Crime = 13.1
