2025-11-18 10:05:12,984 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-18 10:05:12,988 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-18 10:05:19,760 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-18 10:05:19,830 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-18 10:05:19,834 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-18 10:05:23,594 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-18 10:05:23,608 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-18 10:05:24,102 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-18 10:05:24,104 | film_recommender_cg.trainer | INFO | RMSE: 0.871
2025-11-18 10:05:24,106 | film_recommender_cg.trainer | INFO | squared: 0.303
2025-11-18 10:05:24,328 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-18 10:05:24,527 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 10:05:24,637 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-18 10:05:24,650 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-18 10:05:24,661 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.835
2025-11-18 10:05:24,665 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.331
2025-11-18 10:05:24,677 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.85
2025-11-18 10:05:24,680 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.27
2025-11-18 10:05:24,691 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.805
2025-11-18 10:05:24,694 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.35
2025-11-18 10:05:24,706 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.89
2025-11-18 10:05:24,708 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.291
2025-11-18 10:05:24,718 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-18 10:05:24,720 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-18 10:05:24,731 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.835
2025-11-18 10:05:24,734 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.33
2025-11-18 10:05:24,750 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.922
2025-11-18 10:05:24,753 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.232
2025-11-18 10:05:24,765 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.854
2025-11-18 10:05:24,768 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.256
2025-11-18 10:05:24,776 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:05:24,779 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:05:24,796 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.905
2025-11-18 10:05:24,802 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.287
2025-11-18 10:05:24,811 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.945
2025-11-18 10:05:24,813 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = 0.038
2025-11-18 10:05:24,827 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.839
2025-11-18 10:05:24,830 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.273
2025-11-18 10:05:24,843 | film_recommender_cg.trainer | INFO | 'Western' rmse = 0.919
2025-11-18 10:05:24,845 | film_recommender_cg.trainer | INFO | 'Western' r-squared = 0.29
2025-11-18 10:05:24,859 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.875
2025-11-18 10:05:24,861 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.316
2025-11-18 10:05:24,873 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.901
2025-11-18 10:05:24,874 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.272
2025-11-18 10:05:24,886 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.922
2025-11-18 10:05:24,888 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.269
2025-11-18 10:05:24,902 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.841
2025-11-18 10:05:24,905 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.33
2025-11-18 10:05:24,914 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:05:24,917 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:05:24,935 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.895
2025-11-18 10:05:24,940 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.248
2025-11-18 10:05:24,952 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.903
2025-11-18 10:05:24,965 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.312
2025-11-18 10:05:24,985 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.879
2025-11-18 10:05:24,993 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.324
2025-11-18 10:05:26,384 | film_recommender_cg.trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-18 10:05:26,385 | film_recommender_cg.trainer | INFO | Evaluation of SVD model complete!
2025-11-18 10:05:26,389 | film_recommender_cg.trainer | INFO | Logging SVD model in W&B...
2025-11-18 10:05:27,633 | film_recommender_cg.trainer | INFO | SVD model successfully logged!
