2025-11-18 10:06:07,135 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-18 10:06:07,140 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-18 10:06:12,936 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-18 10:06:12,970 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-18 10:06:12,973 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-18 10:06:12,976 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-18 10:06:12,978 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-18 10:06:13,178 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 10:06:13,336 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-18 10:06:13,338 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-18 10:06:14,668 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-18 10:06:14,672 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-18 10:06:14,677 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-18 10:07:37,017 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-18 10:07:37,127 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-18 10:07:37,130 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-18 10:07:37,177 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-18 10:07:37,179 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-18 10:07:37,181 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-18 10:07:43,725 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-18 10:07:43,732 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-18 10:07:43,734 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-18 10:07:44,530 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-18 10:07:44,532 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-18 10:07:44,534 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-18 10:07:54,044 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-18 10:07:54,062 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-18 10:07:54,073 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-18 10:07:54,078 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-18 10:07:54,638 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 50.04% ###
2025-11-18 10:07:56,089 | film_recommender_cg.scorer | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-18 10:07:56,096 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('New' users): 3.02% ###
2025-11-18 10:07:57,158 | film_recommender_cg.scorer | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-18 10:07:57,218 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('Existing' users): 48.38% ###
2025-11-18 10:07:58,493 | film_recommender_cg.scorer | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:08:02,524 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-18 10:08:04,102 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
2025-11-18 10:08:04,638 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('New'): 0.99 ###
2025-11-18 10:08:05,923 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_new_users' successfully logged as artifact in W&B.
2025-11-18 10:08:08,937 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('Existing'): 0.98 ###
2025-11-18 10:08:10,335 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:08:11,038 | film_recommender_cg.scorer | INFO | ### Average personalization score ('All'): 0.738 ###
2025-11-18 10:08:11,565 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.004
2025-11-18 10:08:11,575 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.059
2025-11-18 10:08:12,672 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_all_users' successfully logged as artifact in W&B.
2025-11-18 10:08:12,691 | film_recommender_cg.scorer | INFO | ### Average personalization score ('New'): 0.013 ###
2025-11-18 10:08:13,354 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.237
2025-11-18 10:08:13,357 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.486
2025-11-18 10:08:14,631 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_new_users' successfully logged as artifact in W&B.
2025-11-18 10:08:15,042 | film_recommender_cg.scorer | INFO | ### Average personalization score ('Existing'): 0.680 ###
2025-11-18 10:08:15,550 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.221
2025-11-18 10:08:15,554 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.470
2025-11-18 10:08:16,782 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:08:23,580 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-18 10:08:23,582 | film_recommender_cg.scorer | INFO | War = 8.7
2025-11-18 10:08:23,583 | film_recommender_cg.scorer | INFO | Drama = 67.2
2025-11-18 10:08:23,586 | film_recommender_cg.scorer | INFO | Crime = 13.1
2025-11-18 10:08:23,589 | film_recommender_cg.scorer | INFO | Family = 4.4
2025-11-18 10:08:23,592 | film_recommender_cg.scorer | INFO | Foreign = 2.4
2025-11-18 10:08:23,594 | film_recommender_cg.scorer | INFO | Mystery = 9.0
2025-11-18 10:08:23,597 | film_recommender_cg.scorer | INFO | Music = 4.0
2025-11-18 10:08:23,598 | film_recommender_cg.scorer | INFO | History = 6.0
2025-11-18 10:08:23,600 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:08:23,602 | film_recommender_cg.scorer | INFO | Fantasy = 5.6
2025-11-18 10:08:23,604 | film_recommender_cg.scorer | INFO | Documentary = 5.6
2025-11-18 10:08:23,612 | film_recommender_cg.scorer | INFO | Animation = 1.7
2025-11-18 10:08:23,613 | film_recommender_cg.scorer | INFO | Western = 2.6
2025-11-18 10:08:23,616 | film_recommender_cg.scorer | INFO | Adventure = 8.4
2025-11-18 10:08:23,618 | film_recommender_cg.scorer | INFO | Comedy = 29.0
2025-11-18 10:08:23,620 | film_recommender_cg.scorer | INFO | Horror = 5.7
2025-11-18 10:08:23,622 | film_recommender_cg.scorer | INFO | Thriller = 18.0
2025-11-18 10:08:23,624 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-18 10:08:23,627 | film_recommender_cg.scorer | INFO | Romance = 20.3
2025-11-18 10:08:23,633 | film_recommender_cg.scorer | INFO | Science Fiction = 6.0
2025-11-18 10:08:23,638 | film_recommender_cg.scorer | INFO | Action = 10.8
2025-11-18 10:08:24,898 | film_recommender_cg.scorer | INFO | 'scoring_genre_avg_count_in_top_n_recs_all_users' successfully logged as artifact in W&B.
2025-11-18 10:08:25,819 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (new users): ###
2025-11-18 10:08:25,821 | film_recommender_cg.scorer | INFO | War = 4.9
2025-11-18 10:08:25,824 | film_recommender_cg.scorer | INFO | Drama = 43.4
2025-11-18 10:08:25,826 | film_recommender_cg.scorer | INFO | Crime = 19.2
2025-11-18 10:08:25,830 | film_recommender_cg.scorer | INFO | Family = 13.9
2025-11-18 10:08:25,833 | film_recommender_cg.scorer | INFO | Foreign = 0.0
