2025-11-18 10:43:58,090 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-18 10:43:58,093 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-18 10:44:03,815 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139175, 4)
2025-11-18 10:44:03,863 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-18 10:44:03,866 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-18 10:44:06,254 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-18 10:44:06,263 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-18 10:44:06,673 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-18 10:44:06,676 | film_recommender_cg.trainer | INFO | RMSE: 0.835
2025-11-18 10:44:06,678 | film_recommender_cg.trainer | INFO | squared: 0.299
2025-11-18 10:44:06,952 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-18 10:44:07,146 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 10:44:07,302 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-18 10:44:07,313 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-18 10:44:07,330 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.88
2025-11-18 10:44:07,333 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.28
2025-11-18 10:44:07,349 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.805
2025-11-18 10:44:07,352 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.256
2025-11-18 10:44:07,370 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.854
2025-11-18 10:44:07,373 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.324
2025-11-18 10:44:07,387 | film_recommender_cg.trainer | INFO | 'Western' rmse = 0.784
2025-11-18 10:44:07,391 | film_recommender_cg.trainer | INFO | 'Western' r-squared = 0.348
2025-11-18 10:44:07,409 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.861
2025-11-18 10:44:07,413 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.291
2025-11-18 10:44:07,431 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.863
2025-11-18 10:44:07,434 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.283
2025-11-18 10:44:07,450 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.764
2025-11-18 10:44:07,453 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.272
2025-11-18 10:44:07,471 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.869
2025-11-18 10:44:07,474 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.322
2025-11-18 10:44:07,493 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.798
2025-11-18 10:44:07,496 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.341
2025-11-18 10:44:07,514 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.816
2025-11-18 10:44:07,517 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.336
2025-11-18 10:44:07,532 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.687
2025-11-18 10:44:07,534 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = 0.103
2025-11-18 10:44:07,553 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = 0.716
2025-11-18 10:44:07,556 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = -0.124
2025-11-18 10:44:07,569 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:44:07,571 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:44:07,585 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:44:07,588 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:44:07,606 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.784
2025-11-18 10:44:07,609 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.17
2025-11-18 10:44:07,627 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.922
2025-11-18 10:44:07,631 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.289
2025-11-18 10:44:07,646 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.866
2025-11-18 10:44:07,650 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.233
2025-11-18 10:44:07,666 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.859
2025-11-18 10:44:07,669 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.31
2025-11-18 10:44:07,687 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.805
2025-11-18 10:44:07,689 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.327
2025-11-18 10:44:07,709 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.904
2025-11-18 10:44:07,712 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.197
2025-11-18 10:44:07,728 | film_recommender_cg.trainer | INFO | 'Animation' rmse = 0.874
2025-11-18 10:44:07,731 | film_recommender_cg.trainer | INFO | 'Animation' r-squared = 0.22
2025-11-18 10:44:09,134 | film_recommender_cg.trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-18 10:44:09,138 | film_recommender_cg.trainer | INFO | Evaluation of SVD model complete!
2025-11-18 10:44:09,141 | film_recommender_cg.trainer | INFO | Logging SVD model in W&B...
2025-11-18 10:44:10,837 | film_recommender_cg.trainer | INFO | SVD model successfully logged!
