2025-11-18 10:44:54,300 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-18 10:44:54,303 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-18 10:44:59,266 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139175, 4)
2025-11-18 10:44:59,311 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-18 10:44:59,314 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1786 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-18 10:44:59,317 | film_recommender_cg.scorer | INFO | Number of 'New' users: 22 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-18 10:44:59,324 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-18 10:44:59,518 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 10:44:59,665 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-18 10:44:59,667 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-18 10:45:01,190 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-18 10:45:01,193 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-18 10:45:01,197 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-18 10:46:30,923 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-18 10:46:31,022 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-18 10:46:31,024 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-18 10:46:31,060 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-18 10:46:31,062 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-18 10:46:31,065 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-18 10:46:38,755 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-18 10:46:38,767 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-18 10:46:38,771 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-18 10:46:38,863 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-18 10:46:38,866 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-18 10:46:38,868 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-18 10:46:50,927 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-18 10:46:50,933 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-18 10:46:50,941 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-18 10:46:50,949 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-18 10:46:52,111 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 56.38% ###
2025-11-18 10:46:53,553 | film_recommender_cg.scorer | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-18 10:46:53,560 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('New' users): 3.02% ###
2025-11-18 10:46:54,614 | film_recommender_cg.scorer | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-18 10:46:54,679 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('Existing' users): 54.95% ###
2025-11-18 10:46:55,762 | film_recommender_cg.scorer | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:46:58,129 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-18 10:46:59,641 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
2025-11-18 10:46:59,705 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('New'): 0.99 ###
2025-11-18 10:47:01,189 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_new_users' successfully logged as artifact in W&B.
2025-11-18 10:47:04,094 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('Existing'): 0.98 ###
2025-11-18 10:47:05,577 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:47:06,289 | film_recommender_cg.scorer | INFO | ### Average personalization score ('All'): 0.784 ###
2025-11-18 10:47:06,852 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.101
2025-11-18 10:47:06,859 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.318
2025-11-18 10:47:08,028 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_all_users' successfully logged as artifact in W&B.
2025-11-18 10:47:08,037 | film_recommender_cg.scorer | INFO | ### Average personalization score ('New'): 0.024 ###
2025-11-18 10:47:08,500 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.444
2025-11-18 10:47:08,504 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.666
