2025-11-18 10:55:13,910 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-18 10:55:13,914 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-18 10:55:17,355 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-18 10:55:17,389 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-18 10:55:17,392 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-18 10:55:19,323 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-18 10:55:19,331 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-18 10:55:19,679 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-18 10:55:19,682 | film_recommender_cg.trainer | INFO | RMSE: 0.871
2025-11-18 10:55:19,685 | film_recommender_cg.trainer | INFO | squared: 0.303
2025-11-18 10:55:19,924 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-18 10:55:20,129 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 10:55:20,285 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-18 10:55:20,297 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-18 10:55:20,311 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.85
2025-11-18 10:55:20,314 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.27
2025-11-18 10:55:20,327 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 10:55:20,330 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 10:55:20,347 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.835
2025-11-18 10:55:20,351 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.33
2025-11-18 10:55:20,364 | film_recommender_cg.trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-18 10:55:20,368 | film_recommender_cg.trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-18 10:55:20,390 | film_recommender_cg.trainer | INFO | 'Family' rmse = 0.89
2025-11-18 10:55:20,393 | film_recommender_cg.trainer | INFO | 'Family' r-squared = 0.291
