2025-11-18 10:56:05,119 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-18 10:56:05,124 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-18 10:56:08,612 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-18 10:56:08,643 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-18 10:56:08,646 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-18 10:56:08,649 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-18 10:56:08,652 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-18 10:56:08,802 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 10:56:08,954 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-18 10:56:08,958 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-18 10:56:10,310 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-18 10:56:10,313 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-18 10:56:10,317 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-18 10:57:20,576 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-18 10:57:20,735 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-18 10:57:20,738 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-18 10:57:20,826 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-18 10:57:20,829 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-18 10:57:20,832 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-18 10:57:27,662 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-18 10:57:27,670 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-18 10:57:27,673 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-18 10:57:28,507 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-18 10:57:28,509 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-18 10:57:28,511 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-18 10:57:39,021 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-18 10:57:39,026 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-18 10:57:39,044 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-18 10:57:39,057 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-18 10:57:39,449 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 50.04% ###
2025-11-18 10:57:40,676 | film_recommender_cg.scorer | INFO | 'scoring_coverage_all_users' successfully logged as artifact in W&B.
2025-11-18 10:57:40,688 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('New' users): 3.02% ###
2025-11-18 10:57:42,119 | film_recommender_cg.scorer | INFO | 'scoring_coverage_new_users' successfully logged as artifact in W&B.
2025-11-18 10:57:42,213 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('Existing' users): 48.38% ###
2025-11-18 10:57:43,523 | film_recommender_cg.scorer | INFO | 'scoring_coverage_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:57:46,295 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('All'): 0.98 ###
2025-11-18 10:57:47,625 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_all_users' successfully logged as artifact in W&B.
2025-11-18 10:57:48,067 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('New'): 0.99 ###
2025-11-18 10:57:49,476 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_new_users' successfully logged as artifact in W&B.
2025-11-18 10:57:52,126 | film_recommender_cg.scorer | INFO | ### Mean diversity score for scoring session ('Existing'): 0.98 ###
2025-11-18 10:57:53,460 | film_recommender_cg.scorer | INFO | 'scoring_avg_diversity_score_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:57:53,984 | film_recommender_cg.scorer | INFO | ### Average personalization score ('All'): 0.738 ###
2025-11-18 10:57:54,505 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.004
2025-11-18 10:57:54,513 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.059
2025-11-18 10:57:55,565 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_all_users' successfully logged as artifact in W&B.
2025-11-18 10:57:55,583 | film_recommender_cg.scorer | INFO | ### Average personalization score ('New'): 0.013 ###
2025-11-18 10:57:56,081 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.237
2025-11-18 10:57:56,085 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.486
2025-11-18 10:57:57,354 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_new_users' successfully logged as artifact in W&B.
2025-11-18 10:57:57,729 | film_recommender_cg.scorer | INFO | ### Average personalization score ('Existing'): 0.680 ###
2025-11-18 10:57:58,256 | film_recommender_cg.scorer | INFO | R² for Personalization vs. Films Rated: 0.221
2025-11-18 10:57:58,259 | film_recommender_cg.scorer | INFO | Pearson correlation for Personalization vs. Films Rated: 0.470
2025-11-18 10:57:59,510 | film_recommender_cg.scorer | INFO | 'scoring_avg_personalization_score_existing_users' successfully logged as artifact in W&B.
2025-11-18 10:58:06,704 | film_recommender_cg.scorer | INFO | ### Genre average counts in top 100 recommendations (all users): ###
2025-11-18 10:58:06,707 | film_recommender_cg.scorer | INFO | Drama = 67.2
2025-11-18 10:58:06,709 | film_recommender_cg.scorer | INFO | TV Movie = 0.0
2025-11-18 10:58:06,712 | film_recommender_cg.scorer | INFO | Mystery = 9.0
2025-11-18 10:58:06,714 | film_recommender_cg.scorer | INFO | Undisclosed = 0.0
2025-11-18 10:58:06,716 | film_recommender_cg.scorer | INFO | Family = 4.4
2025-11-18 10:58:06,718 | film_recommender_cg.scorer | INFO | Western = 2.6
2025-11-18 10:58:06,719 | film_recommender_cg.scorer | INFO | Crime = 13.1
2025-11-18 10:58:06,722 | film_recommender_cg.scorer | INFO | Music = 4.0
