2025-11-18 11:14:42,599 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-18 11:14:42,602 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-18 11:14:45,913 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-18 11:14:45,941 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-18 11:14:45,946 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-18 11:14:47,955 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-18 11:14:47,963 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-18 11:14:48,333 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-18 11:14:48,335 | film_recommender_cg.trainer | INFO | RMSE: 0.871
2025-11-18 11:14:48,338 | film_recommender_cg.trainer | INFO | squared: 0.303
2025-11-18 11:14:48,565 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-18 11:14:48,755 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 11:14:48,916 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-18 11:14:48,928 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-18 11:14:48,943 | film_recommender_cg.trainer | INFO | 'Drama' rmse = 0.85
2025-11-18 11:14:48,946 | film_recommender_cg.trainer | INFO | 'Drama' r-squared = 0.27
2025-11-18 11:14:48,962 | film_recommender_cg.trainer | INFO | 'War' rmse = 0.835
2025-11-18 11:14:48,966 | film_recommender_cg.trainer | INFO | 'War' r-squared = 0.331
2025-11-18 11:14:48,982 | film_recommender_cg.trainer | INFO | 'Thriller' rmse = 0.841
2025-11-18 11:14:48,985 | film_recommender_cg.trainer | INFO | 'Thriller' r-squared = 0.33
2025-11-18 11:14:49,001 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.879
2025-11-18 11:14:49,005 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.324
2025-11-18 11:14:49,019 | film_recommender_cg.trainer | INFO | 'Music' rmse = 0.922
2025-11-18 11:14:49,022 | film_recommender_cg.trainer | INFO | 'Music' r-squared = 0.232
2025-11-18 11:14:49,040 | film_recommender_cg.trainer | INFO | 'Adventure' rmse = 0.875
2025-11-18 11:14:49,043 | film_recommender_cg.trainer | INFO | 'Adventure' r-squared = 0.316
2025-11-18 11:14:49,059 | film_recommender_cg.trainer | INFO | 'Mystery' rmse = 0.835
2025-11-18 11:14:49,062 | film_recommender_cg.trainer | INFO | 'Mystery' r-squared = 0.33
2025-11-18 11:14:49,076 | film_recommender_cg.trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-18 11:14:49,079 | film_recommender_cg.trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-18 11:14:49,098 | film_recommender_cg.trainer | INFO | 'History' rmse = 0.854
2025-11-18 11:14:49,102 | film_recommender_cg.trainer | INFO | 'History' r-squared = 0.256
2025-11-18 11:14:49,117 | film_recommender_cg.trainer | INFO | 'Romance' rmse = 0.895
2025-11-18 11:14:49,120 | film_recommender_cg.trainer | INFO | 'Romance' r-squared = 0.248
2025-11-18 11:14:49,136 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.901
2025-11-18 11:14:49,139 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.272
2025-11-18 11:14:49,158 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.805
2025-11-18 11:14:49,161 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.35
2025-11-18 11:14:49,178 | film_recommender_cg.trainer | INFO | 'Fantasy' rmse = 0.905
2025-11-18 11:14:49,181 | film_recommender_cg.trainer | INFO | 'Fantasy' r-squared = 0.287
2025-11-18 11:14:49,195 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.945
2025-11-18 11:14:49,199 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = 0.038
2025-11-18 11:14:49,211 | film_recommender_cg.trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-18 11:14:49,215 | film_recommender_cg.trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-18 11:14:49,234 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.922
