2025-11-18 11:15:33,227 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-18 11:15:33,232 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-18 11:15:36,629 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-18 11:15:36,660 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-18 11:15:36,663 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-18 11:15:36,665 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-18 11:15:36,669 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-18 11:15:36,808 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-18 11:15:36,968 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-18 11:15:36,972 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-18 11:15:38,286 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-18 11:15:38,291 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-18 11:15:38,294 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-18 11:16:47,939 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-18 11:16:48,045 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-18 11:16:48,047 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-18 11:16:48,093 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-18 11:16:48,096 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-18 11:16:48,097 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-18 11:16:55,171 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-18 11:16:55,178 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-18 11:16:55,181 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-18 11:16:56,042 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-18 11:16:56,045 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-18 11:16:56,047 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-18 11:17:07,390 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-18 11:17:07,397 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-18 11:17:07,415 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-18 11:17:07,419 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-18 11:17:07,824 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 50.04% ###
