2025-11-19 09:26:48,678 | film_recommender_cg.trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-19 09:26:48,682 | film_recommender_cg.trainer | INFO | Loading in 'ratings' data...
2025-11-19 09:26:52,323 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-19 09:26:52,530 | film_recommender_cg.trainer | INFO | Data successfully loaded!
2025-11-19 09:26:52,556 | film_recommender_cg.trainer | INFO | Training SVD model...
2025-11-19 09:26:55,301 | film_recommender_cg.trainer | INFO | SVD model successfully trained!
2025-11-19 09:26:55,314 | film_recommender_cg.trainer | INFO | Evaluating SVD model...
2025-11-19 09:26:55,633 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-19 09:26:55,636 | film_recommender_cg.trainer | INFO | RMSE: 0.873
2025-11-19 09:26:55,639 | film_recommender_cg.trainer | INFO | squared: 0.297
2025-11-19 09:26:55,867 | film_recommender_cg.trainer | INFO | Loading in 'genres' table...
2025-11-19 09:26:56,045 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-19 09:26:56,166 | film_recommender_cg.trainer | INFO | Table successfully loaded!
2025-11-19 09:26:56,177 | film_recommender_cg.trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-19 09:26:56,187 | film_recommender_cg.trainer | INFO | 'Action' rmse = 0.849
2025-11-19 09:26:56,191 | film_recommender_cg.trainer | INFO | 'Action' r-squared = 0.345
2025-11-19 09:26:56,201 | film_recommender_cg.trainer | INFO | 'Horror' rmse = 0.961
2025-11-19 09:26:56,204 | film_recommender_cg.trainer | INFO | 'Horror' r-squared = 0.289
2025-11-19 09:26:56,219 | film_recommender_cg.trainer | INFO | 'Documentary' rmse = 0.93
2025-11-19 09:26:56,221 | film_recommender_cg.trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-19 09:26:56,233 | film_recommender_cg.trainer | INFO | 'Comedy' rmse = 0.904
2025-11-19 09:26:56,236 | film_recommender_cg.trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-19 09:26:56,248 | film_recommender_cg.trainer | INFO | 'Crime' rmse = 0.817
2025-11-19 09:26:56,251 | film_recommender_cg.trainer | INFO | 'Crime' r-squared = 0.34
2025-11-19 09:26:56,268 | film_recommender_cg.trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-19 09:26:56,271 | film_recommender_cg.trainer | INFO | 'Science Fiction' r-squared = 0.324
