2025-11-19 09:27:40,191 | film_recommender_cg.scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-19 09:27:40,194 | film_recommender_cg.scorer | INFO | Loading in 'ratings' data...
2025-11-19 09:27:43,457 | film_recommender_cg.db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-19 09:27:43,487 | film_recommender_cg.scorer | INFO | Data successfully loaded!
2025-11-19 09:27:43,490 | film_recommender_cg.scorer | INFO | Number of 'existing' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-19 09:27:43,492 | film_recommender_cg.scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-19 09:27:43,493 | film_recommender_cg.scorer | INFO | Ratings data loaded successfully.
2025-11-19 09:27:43,646 | film_recommender_cg.db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-19 09:27:43,752 | film_recommender_cg.scorer | INFO | Genres table loaded successfully.
2025-11-19 09:27:43,754 | film_recommender_cg.scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-19 09:27:44,687 | film_recommender_cg.scorer | INFO | Model successfully loaded!
2025-11-19 09:27:44,690 | film_recommender_cg.scorer | INFO | Model imported successfully.
2025-11-19 09:27:44,691 | film_recommender_cg.scorer | INFO | Scoring for 'existing' users...
2025-11-19 09:29:07,609 | film_recommender_cg.scorer | INFO | Scoring complete for 'existing' users!
2025-11-19 09:29:07,714 | film_recommender_cg.scorer | INFO | Rankings for existing users generated successfully.
2025-11-19 09:29:07,717 | film_recommender_cg.scorer | INFO | Scoring for 'new' users...
2025-11-19 09:29:07,835 | film_recommender_cg.scorer | INFO | Scoring complete for 'new' users!
2025-11-19 09:29:07,837 | film_recommender_cg.scorer | INFO | Rankings for new users generated successfully.
2025-11-19 09:29:07,838 | film_recommender_cg.scorer | INFO | Simulating interactions for 'existing' users...
2025-11-19 09:29:16,115 | film_recommender_cg.scorer | INFO | Simulation of 'existing' users complete!
2025-11-19 09:29:16,122 | film_recommender_cg.scorer | INFO | New interactions for existing users simulated successfully.
2025-11-19 09:29:16,125 | film_recommender_cg.scorer | INFO | Simulating interactions for 'new' users...
2025-11-19 09:29:17,010 | film_recommender_cg.scorer | INFO | Simulation of 'new' users complete!
2025-11-19 09:29:17,012 | film_recommender_cg.scorer | INFO | New interactions for new users simulated successfully.
2025-11-19 09:29:17,014 | film_recommender_cg.scorer | INFO | Updating ratings table...
2025-11-19 09:29:23,813 | film_recommender_cg.db_connector | INFO | Inserted 19100 documents into 'ratings'.
2025-11-19 09:29:23,816 | film_recommender_cg.scorer | INFO | Ratings table updated.
2025-11-19 09:29:23,828 | film_recommender_cg.scorer | INFO | Ratings table updated successfully.
2025-11-19 09:29:23,831 | film_recommender_cg.scorer | INFO | All processing completed successfully.
2025-11-19 09:29:24,333 | film_recommender_cg.scorer | INFO | ### Coverage for scoring session ('All' users): 49.94% ###
