2025-11-03 09:43:00,212 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
DEBUGGING trainer!!!!! True
DEBUGGING main!!!!! True
2025-11-03 09:43:00,221 | trainer | INFO | Loading in 'ratings' data...
2025-11-03 09:43:00,809 | trainer | INFO | Data successfully loaded!
2025-11-03 09:43:00,812 | trainer | INFO | Training SVD model...
2025-11-03 09:43:03,487 | trainer | INFO | SVD model successfully trained!
2025-11-03 09:43:03,497 | trainer | INFO | Evaluating SVD model...
2025-11-03 09:43:03,731 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-03 09:43:03,738 | trainer | INFO | RMSE: 0.871
2025-11-03 09:43:03,741 | trainer | INFO | squared: 0.303
2025-11-03 09:43:03,997 | trainer | INFO | Loading in 'genres' table...
2025-11-03 09:43:04,194 | trainer | INFO | Table successfully loaded!
2025-11-03 09:43:04,207 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-03 09:43:04,225 | trainer | INFO | 'Adventure' rmse = 0.875
2025-11-03 09:43:04,228 | trainer | INFO | 'Adventure' r-squared = 0.316
2025-11-03 09:43:04,246 | trainer | INFO | 'Science Fiction' rmse = 0.903
2025-11-03 09:43:04,249 | trainer | INFO | 'Science Fiction' r-squared = 0.312
2025-11-03 09:43:04,263 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-03 09:43:04,267 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-03 09:43:04,280 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-03 09:43:04,283 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-03 09:43:04,298 | trainer | INFO | 'Horror' rmse = 0.922
2025-11-03 09:43:04,301 | trainer | INFO | 'Horror' r-squared = 0.269
2025-11-03 09:43:04,316 | trainer | INFO | 'Romance' rmse = 0.895
2025-11-03 09:43:04,320 | trainer | INFO | 'Romance' r-squared = 0.248
2025-11-03 09:43:04,335 | trainer | INFO | 'Drama' rmse = 0.85
2025-11-03 09:43:04,338 | trainer | INFO | 'Drama' r-squared = 0.27
2025-11-03 09:43:04,356 | trainer | INFO | 'Western' rmse = 0.919
2025-11-03 09:43:04,359 | trainer | INFO | 'Western' r-squared = 0.29
2025-11-03 09:43:04,370 | trainer | INFO | 'War' rmse = 0.835
2025-11-03 09:43:04,373 | trainer | INFO | 'War' r-squared = 0.331
2025-11-03 09:43:04,385 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-03 09:43:04,388 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-03 09:43:04,406 | trainer | INFO | 'Family' rmse = 0.89
2025-11-03 09:43:04,410 | trainer | INFO | 'Family' r-squared = 0.291
2025-11-03 09:43:04,424 | trainer | INFO | 'Thriller' rmse = 0.841
2025-11-03 09:43:04,428 | trainer | INFO | 'Thriller' r-squared = 0.33
2025-11-03 09:43:04,442 | trainer | INFO | 'Action' rmse = 0.879
2025-11-03 09:43:04,445 | trainer | INFO | 'Action' r-squared = 0.324
2025-11-03 09:43:04,459 | trainer | INFO | 'Comedy' rmse = 0.901
2025-11-03 09:43:04,463 | trainer | INFO | 'Comedy' r-squared = 0.272
2025-11-03 09:43:04,475 | trainer | INFO | 'Fantasy' rmse = 0.905
2025-11-03 09:43:04,478 | trainer | INFO | 'Fantasy' r-squared = 0.287
2025-11-03 09:43:04,491 | trainer | INFO | 'Music' rmse = 0.922
2025-11-03 09:43:04,496 | trainer | INFO | 'Music' r-squared = 0.232
2025-11-03 09:43:04,509 | trainer | INFO | 'History' rmse = 0.854
2025-11-03 09:43:04,515 | trainer | INFO | 'History' r-squared = 0.256
2025-11-03 09:43:04,529 | trainer | INFO | 'Animation' rmse = 0.839
2025-11-03 09:43:04,531 | trainer | INFO | 'Animation' r-squared = 0.273
2025-11-03 09:43:04,545 | trainer | INFO | 'Mystery' rmse = 0.835
2025-11-03 09:43:04,548 | trainer | INFO | 'Mystery' r-squared = 0.33
2025-11-03 09:43:04,564 | trainer | INFO | 'Crime' rmse = 0.805
2025-11-03 09:43:04,567 | trainer | INFO | 'Crime' r-squared = 0.35
2025-11-03 09:43:04,581 | trainer | INFO | 'Documentary' rmse = 0.945
2025-11-03 09:43:04,585 | trainer | INFO | 'Documentary' r-squared = 0.038
2025-11-03 09:43:05,911 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-03 09:43:05,915 | trainer | INFO | Evaluation of SVD model complete!
2025-11-03 09:43:05,919 | trainer | INFO | Logging SVD model in W&B...
2025-11-03 09:43:07,445 | trainer | INFO | SVD model successfully logged!
