2025-11-03 09:58:03,633 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
DEBUGGING trainer!!!!! False
DEBUGGING main!!!!! False
2025-11-03 09:58:03,640 | trainer | INFO | Loading in 'ratings' data...
2025-11-03 09:58:03,707 | trainer | INFO | Data successfully loaded!
2025-11-03 09:58:03,710 | trainer | INFO | Training SVD model...
2025-11-03 09:58:06,039 | trainer | INFO | SVD model successfully trained!
2025-11-03 09:58:06,048 | trainer | INFO | Evaluating SVD model...
2025-11-03 09:58:06,278 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-03 09:58:06,281 | trainer | INFO | RMSE: 0.871
2025-11-03 09:58:06,284 | trainer | INFO | squared: 0.303
2025-11-03 09:58:06,529 | trainer | INFO | Loading in 'genres' table...
2025-11-03 09:58:06,729 | trainer | INFO | Table successfully loaded!
2025-11-03 09:58:06,744 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-03 09:58:06,759 | trainer | INFO | 'Fantasy' rmse = 0.905
2025-11-03 09:58:06,763 | trainer | INFO | 'Fantasy' r-squared = 0.287
2025-11-03 09:58:06,783 | trainer | INFO | 'Crime' rmse = 0.805
2025-11-03 09:58:06,786 | trainer | INFO | 'Crime' r-squared = 0.35
2025-11-03 09:58:06,802 | trainer | INFO | 'Documentary' rmse = 0.945
2025-11-03 09:58:06,806 | trainer | INFO | 'Documentary' r-squared = 0.038
2025-11-03 09:58:06,820 | trainer | INFO | 'Animation' rmse = 0.839
2025-11-03 09:58:06,823 | trainer | INFO | 'Animation' r-squared = 0.273
2025-11-03 09:58:06,836 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-03 09:58:06,839 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-03 09:58:06,859 | trainer | INFO | 'Family' rmse = 0.89
2025-11-03 09:58:06,862 | trainer | INFO | 'Family' r-squared = 0.291
2025-11-03 09:58:06,877 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-03 09:58:06,880 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-03 09:58:06,897 | trainer | INFO | 'Music' rmse = 0.922
2025-11-03 09:58:06,900 | trainer | INFO | 'Music' r-squared = 0.232
2025-11-03 09:58:06,917 | trainer | INFO | 'Drama' rmse = 0.85
2025-11-03 09:58:06,921 | trainer | INFO | 'Drama' r-squared = 0.27
2025-11-03 09:58:06,935 | trainer | INFO | 'Horror' rmse = 0.922
2025-11-03 09:58:06,939 | trainer | INFO | 'Horror' r-squared = 0.269
2025-11-03 09:58:06,956 | trainer | INFO | 'Science Fiction' rmse = 0.903
2025-11-03 09:58:06,959 | trainer | INFO | 'Science Fiction' r-squared = 0.312
2025-11-03 09:58:06,974 | trainer | INFO | 'War' rmse = 0.835
2025-11-03 09:58:06,978 | trainer | INFO | 'War' r-squared = 0.331
2025-11-03 09:58:06,996 | trainer | INFO | 'Romance' rmse = 0.895
2025-11-03 09:58:07,000 | trainer | INFO | 'Romance' r-squared = 0.248
2025-11-03 09:58:07,023 | trainer | INFO | 'Action' rmse = 0.879
2025-11-03 09:58:07,030 | trainer | INFO | 'Action' r-squared = 0.324
2025-11-03 09:58:07,049 | trainer | INFO | 'Adventure' rmse = 0.875
2025-11-03 09:58:07,054 | trainer | INFO | 'Adventure' r-squared = 0.316
2025-11-03 09:58:07,069 | trainer | INFO | 'History' rmse = 0.854
2025-11-03 09:58:07,072 | trainer | INFO | 'History' r-squared = 0.256
2025-11-03 09:58:07,089 | trainer | INFO | 'Western' rmse = 0.919
2025-11-03 09:58:07,092 | trainer | INFO | 'Western' r-squared = 0.29
2025-11-03 09:58:07,108 | trainer | INFO | 'Mystery' rmse = 0.835
2025-11-03 09:58:07,111 | trainer | INFO | 'Mystery' r-squared = 0.33
2025-11-03 09:58:07,128 | trainer | INFO | 'Thriller' rmse = 0.841
2025-11-03 09:58:07,131 | trainer | INFO | 'Thriller' r-squared = 0.33
2025-11-03 09:58:07,145 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-03 09:58:07,149 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-03 09:58:07,167 | trainer | INFO | 'Comedy' rmse = 0.901
2025-11-03 09:58:07,170 | trainer | INFO | 'Comedy' r-squared = 0.272
2025-11-03 09:58:08,283 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-03 09:58:08,286 | trainer | INFO | Evaluation of SVD model complete!
2025-11-03 09:58:08,290 | trainer | INFO | Logging SVD model in W&B...
2025-11-03 09:58:09,847 | trainer | INFO | SVD model successfully logged!
