2025-11-04 10:11:14,103 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-04 10:11:14,106 | trainer | INFO | Loading in 'ratings' data...
2025-11-04 10:11:14,904 | db_connector | INFO | Successfully connected to DB.
2025-11-04 10:11:19,014 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:11:19,059 | trainer | INFO | Data successfully loaded!
2025-11-04 10:11:19,062 | trainer | INFO | Training SVD model...
2025-11-04 10:11:20,510 | trainer | INFO | SVD model successfully trained!
2025-11-04 10:11:20,516 | trainer | INFO | Evaluating SVD model...
2025-11-04 10:11:20,665 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-04 10:11:20,669 | trainer | INFO | RMSE: 0.873
2025-11-04 10:11:20,671 | trainer | INFO | squared: 0.297
2025-11-04 10:11:20,839 | trainer | INFO | Loading in 'genres' table...
2025-11-04 10:11:21,062 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:11:21,167 | trainer | INFO | Table successfully loaded!
2025-11-04 10:11:21,176 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-04 10:11:21,185 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-04 10:11:21,188 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-04 10:11:21,198 | trainer | INFO | 'Western' rmse = 0.881
2025-11-04 10:11:21,200 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-04 10:11:21,213 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-04 10:11:21,215 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-04 10:11:21,226 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-04 10:11:21,228 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-04 10:11:21,238 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-04 10:11:21,240 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-04 10:11:21,250 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-04 10:11:21,252 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-04 10:11:21,262 | trainer | INFO | 'War' rmse = 0.846
2025-11-04 10:11:21,265 | trainer | INFO | 'War' r-squared = 0.357
2025-11-04 10:11:21,281 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-04 10:11:21,284 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-04 10:11:21,296 | trainer | INFO | 'Action' rmse = 0.849
2025-11-04 10:11:21,298 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-04 10:11:21,309 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-04 10:11:21,319 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-04 10:11:21,331 | trainer | INFO | 'History' rmse = 0.826
2025-11-04 10:11:21,335 | trainer | INFO | 'History' r-squared = 0.238
2025-11-04 10:11:21,350 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-04 10:11:21,354 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-04 10:11:21,366 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-04 10:11:21,368 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-04 10:11:21,378 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-04 10:11:21,381 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-04 10:11:21,391 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-04 10:11:21,396 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-04 10:11:21,408 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-04 10:11:21,410 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-04 10:11:21,424 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-04 10:11:21,427 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-04 10:11:21,437 | trainer | INFO | 'Music' rmse = 0.946
2025-11-04 10:11:21,439 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-04 10:11:21,451 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-04 10:11:21,455 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-04 10:11:21,465 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-04 10:11:21,467 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-04 10:11:21,478 | trainer | INFO | 'Family' rmse = 0.889
2025-11-04 10:11:21,480 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-04 10:11:22,599 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-04 10:11:22,602 | trainer | INFO | Evaluation of SVD model complete!
2025-11-04 10:11:22,604 | trainer | INFO | Logging SVD model in W&B...
2025-11-04 10:11:23,929 | trainer | INFO | SVD model successfully logged!
