2025-11-04 10:17:29,287 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-04 10:17:29,290 | trainer | INFO | Loading in 'ratings' data...
2025-11-04 10:17:29,922 | db_connector | INFO | Successfully connected to DB.
2025-11-04 10:17:33,232 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:17:33,274 | trainer | INFO | Data successfully loaded!
2025-11-04 10:17:33,276 | trainer | INFO | Training SVD model...
2025-11-04 10:17:35,045 | trainer | INFO | SVD model successfully trained!
2025-11-04 10:17:35,053 | trainer | INFO | Evaluating SVD model...
2025-11-04 10:17:35,312 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-04 10:17:35,314 | trainer | INFO | RMSE: 0.873
2025-11-04 10:17:35,316 | trainer | INFO | squared: 0.297
2025-11-04 10:17:35,507 | trainer | INFO | Loading in 'genres' table...
2025-11-04 10:17:36,150 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:17:36,253 | trainer | INFO | Table successfully loaded!
2025-11-04 10:17:36,262 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-04 10:17:36,276 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-04 10:17:36,279 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-04 10:17:36,288 | trainer | INFO | 'Family' rmse = 0.889
2025-11-04 10:17:36,290 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-04 10:17:36,303 | trainer | INFO | 'Western' rmse = 0.881
2025-11-04 10:17:36,306 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-04 10:17:36,316 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-04 10:17:36,320 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-04 10:17:36,331 | trainer | INFO | 'History' rmse = 0.826
2025-11-04 10:17:36,334 | trainer | INFO | 'History' r-squared = 0.238
2025-11-04 10:17:36,344 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-04 10:17:36,346 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-04 10:17:36,357 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-04 10:17:36,364 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-04 10:17:36,388 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-04 10:17:36,413 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-04 10:17:36,422 | trainer | INFO | 'War' rmse = 0.846
2025-11-04 10:17:36,424 | trainer | INFO | 'War' r-squared = 0.357
2025-11-04 10:17:36,455 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-04 10:17:36,457 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-04 10:17:36,487 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-04 10:17:36,489 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-04 10:17:36,517 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-04 10:17:36,519 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-04 10:17:36,538 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-04 10:17:36,540 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-04 10:17:36,560 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-04 10:17:36,563 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-04 10:17:36,580 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-04 10:17:36,592 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-04 10:17:36,612 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-04 10:17:36,633 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-04 10:17:36,642 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-04 10:17:36,645 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-04 10:17:36,661 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-04 10:17:36,663 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-04 10:17:36,680 | trainer | INFO | 'Action' rmse = 0.849
2025-11-04 10:17:36,682 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-04 10:17:36,693 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-04 10:17:36,695 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-04 10:17:36,712 | trainer | INFO | 'Music' rmse = 0.946
2025-11-04 10:17:36,714 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-04 10:17:37,850 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-04 10:17:37,853 | trainer | INFO | Evaluation of SVD model complete!
2025-11-04 10:17:37,855 | trainer | INFO | Logging SVD model in W&B...
2025-11-04 10:17:39,024 | trainer | INFO | SVD model successfully logged!
