2025-11-04 10:23:37,941 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-04 10:23:37,943 | trainer | INFO | Loading in 'ratings' data...
2025-11-04 10:23:41,338 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:23:41,391 | trainer | INFO | Data successfully loaded!
2025-11-04 10:23:41,394 | trainer | INFO | Training SVD model...
2025-11-04 10:23:42,843 | trainer | INFO | SVD model successfully trained!
2025-11-04 10:23:42,850 | trainer | INFO | Evaluating SVD model...
2025-11-04 10:23:43,211 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-04 10:23:43,213 | trainer | INFO | RMSE: 0.873
2025-11-04 10:23:43,215 | trainer | INFO | squared: 0.297
2025-11-04 10:23:43,390 | trainer | INFO | Loading in 'genres' table...
2025-11-04 10:23:43,575 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:23:43,679 | trainer | INFO | Table successfully loaded!
2025-11-04 10:23:43,689 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-04 10:23:43,699 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-04 10:23:43,702 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-04 10:23:43,713 | trainer | INFO | 'Family' rmse = 0.889
2025-11-04 10:23:43,715 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-04 10:23:43,725 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-04 10:23:43,729 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-04 10:23:43,738 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-04 10:23:43,741 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-04 10:23:43,752 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-04 10:23:43,755 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-04 10:23:43,765 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-04 10:23:43,768 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-04 10:23:43,776 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-04 10:23:43,781 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-04 10:23:43,793 | trainer | INFO | 'Action' rmse = 0.849
2025-11-04 10:23:43,795 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-04 10:23:43,807 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-04 10:23:43,811 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-04 10:23:43,822 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-04 10:23:43,825 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-04 10:23:43,837 | trainer | INFO | 'War' rmse = 0.846
2025-11-04 10:23:43,840 | trainer | INFO | 'War' r-squared = 0.357
2025-11-04 10:23:43,855 | trainer | INFO | 'Music' rmse = 0.946
2025-11-04 10:23:43,860 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-04 10:23:43,872 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-04 10:23:43,875 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-04 10:23:43,884 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-04 10:23:43,888 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-04 10:23:43,899 | trainer | INFO | 'Western' rmse = 0.881
2025-11-04 10:23:43,903 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-04 10:23:43,912 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-04 10:23:43,915 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-04 10:23:43,929 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-04 10:23:43,931 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-04 10:23:43,942 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-04 10:23:43,944 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-04 10:23:43,956 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-04 10:23:43,958 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-04 10:23:43,972 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-04 10:23:43,975 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-04 10:23:43,986 | trainer | INFO | 'History' rmse = 0.826
2025-11-04 10:23:43,989 | trainer | INFO | 'History' r-squared = 0.238
2025-11-04 10:23:45,051 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-04 10:23:45,054 | trainer | INFO | Evaluation of SVD model complete!
2025-11-04 10:23:45,057 | trainer | INFO | Logging SVD model in W&B...
2025-11-04 10:23:46,177 | trainer | INFO | SVD model successfully logged!
