2025-11-04 10:29:57,522 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-04 10:29:57,524 | trainer | INFO | Loading in 'ratings' data...
2025-11-04 10:30:00,760 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:30:00,810 | trainer | INFO | Data successfully loaded!
2025-11-04 10:30:00,813 | trainer | INFO | Training SVD model...
2025-11-04 10:30:02,421 | trainer | INFO | SVD model successfully trained!
2025-11-04 10:30:02,429 | trainer | INFO | Evaluating SVD model...
2025-11-04 10:30:03,061 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-04 10:30:03,063 | trainer | INFO | RMSE: 0.873
2025-11-04 10:30:03,065 | trainer | INFO | squared: 0.297
2025-11-04 10:30:03,321 | trainer | INFO | Loading in 'genres' table...
2025-11-04 10:30:03,550 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:30:03,691 | trainer | INFO | Table successfully loaded!
2025-11-04 10:30:03,703 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-04 10:30:03,732 | trainer | INFO | 'Action' rmse = 0.849
2025-11-04 10:30:03,734 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-04 10:30:03,756 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-04 10:30:03,759 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-04 10:30:03,774 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-04 10:30:03,776 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-04 10:30:03,796 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-04 10:30:03,801 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-04 10:30:03,823 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-04 10:30:03,834 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-04 10:30:03,843 | trainer | INFO | 'Family' rmse = 0.889
2025-11-04 10:30:03,846 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-04 10:30:03,862 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-04 10:30:03,866 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-04 10:30:03,880 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-04 10:30:03,881 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-04 10:30:03,899 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-04 10:30:03,901 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-04 10:30:03,918 | trainer | INFO | 'War' rmse = 0.846
2025-11-04 10:30:03,920 | trainer | INFO | 'War' r-squared = 0.357
2025-11-04 10:30:03,938 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-04 10:30:03,943 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-04 10:30:03,957 | trainer | INFO | 'Music' rmse = 0.946
2025-11-04 10:30:03,969 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-04 10:30:03,976 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-04 10:30:03,978 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-04 10:30:04,002 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-04 10:30:04,010 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-04 10:30:04,031 | trainer | INFO | 'History' rmse = 0.826
2025-11-04 10:30:04,033 | trainer | INFO | 'History' r-squared = 0.238
2025-11-04 10:30:04,054 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-04 10:30:04,066 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-04 10:30:04,089 | trainer | INFO | 'Western' rmse = 0.881
2025-11-04 10:30:04,094 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-04 10:30:04,114 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-04 10:30:04,116 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-04 10:30:04,150 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-04 10:30:04,152 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-04 10:30:04,186 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-04 10:30:04,188 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-04 10:30:04,208 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-04 10:30:04,210 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-04 10:30:05,293 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-04 10:30:05,295 | trainer | INFO | Evaluation of SVD model complete!
2025-11-04 10:30:05,298 | trainer | INFO | Logging SVD model in W&B...
2025-11-04 10:30:06,606 | trainer | INFO | SVD model successfully logged!
