2025-11-04 10:44:07,217 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-04 10:44:07,220 | trainer | INFO | Loading in 'ratings' data...
2025-11-04 10:44:12,041 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:44:12,089 | trainer | INFO | Data successfully loaded!
2025-11-04 10:44:12,091 | trainer | INFO | Training SVD model...
2025-11-04 10:44:13,814 | trainer | INFO | SVD model successfully trained!
2025-11-04 10:44:13,830 | trainer | INFO | Evaluating SVD model...
2025-11-04 10:44:14,158 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-04 10:44:14,161 | trainer | INFO | RMSE: 0.873
2025-11-04 10:44:14,163 | trainer | INFO | squared: 0.297
2025-11-04 10:44:14,345 | trainer | INFO | Loading in 'genres' table...
2025-11-04 10:44:14,521 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:44:14,625 | trainer | INFO | Table successfully loaded!
2025-11-04 10:44:14,639 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-04 10:44:14,649 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-04 10:44:14,652 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-04 10:44:14,669 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-04 10:44:14,672 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-04 10:44:14,683 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-04 10:44:14,686 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-04 10:44:14,699 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-04 10:44:14,702 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-04 10:44:14,718 | trainer | INFO | 'Family' rmse = 0.889
2025-11-04 10:44:14,721 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-04 10:44:14,730 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-04 10:44:14,733 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-04 10:44:14,756 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-04 10:44:14,759 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-04 10:44:14,771 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-04 10:44:14,774 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-04 10:44:14,785 | trainer | INFO | 'Western' rmse = 0.881
2025-11-04 10:44:14,788 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-04 10:44:14,804 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-04 10:44:14,807 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-04 10:44:14,822 | trainer | INFO | 'War' rmse = 0.846
2025-11-04 10:44:14,825 | trainer | INFO | 'War' r-squared = 0.357
2025-11-04 10:44:14,840 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-04 10:44:14,843 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-04 10:44:14,858 | trainer | INFO | 'History' rmse = 0.826
2025-11-04 10:44:14,861 | trainer | INFO | 'History' r-squared = 0.238
2025-11-04 10:44:14,873 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-04 10:44:14,877 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-04 10:44:14,889 | trainer | INFO | 'Music' rmse = 0.946
2025-11-04 10:44:14,892 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-04 10:44:14,907 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-04 10:44:14,910 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-04 10:44:14,926 | trainer | INFO | 'Action' rmse = 0.849
2025-11-04 10:44:14,928 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-04 10:44:14,938 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-04 10:44:14,943 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-04 10:44:14,962 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-04 10:44:14,964 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-04 10:44:14,974 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-04 10:44:14,978 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-04 10:44:14,994 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-04 10:44:14,997 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-04 10:44:16,206 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-04 10:44:16,208 | trainer | INFO | Evaluation of SVD model complete!
2025-11-04 10:44:16,210 | trainer | INFO | Logging SVD model in W&B...
2025-11-04 10:44:17,496 | trainer | INFO | SVD model successfully logged!
