2025-11-04 11:06:24,161 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-04 11:06:24,163 | trainer | INFO | Loading in 'ratings' data...
2025-11-04 11:06:27,025 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 11:06:27,071 | trainer | INFO | Data successfully loaded!
2025-11-04 11:06:27,073 | trainer | INFO | Training SVD model...
2025-11-04 11:06:28,663 | trainer | INFO | SVD model successfully trained!
2025-11-04 11:06:28,678 | trainer | INFO | Evaluating SVD model...
2025-11-04 11:06:29,044 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-04 11:06:29,046 | trainer | INFO | RMSE: 0.873
2025-11-04 11:06:29,050 | trainer | INFO | squared: 0.297
2025-11-04 11:06:29,210 | trainer | INFO | Loading in 'genres' table...
2025-11-04 11:06:29,390 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 11:06:29,495 | trainer | INFO | Table successfully loaded!
2025-11-04 11:06:29,505 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-04 11:06:29,513 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-04 11:06:29,516 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-04 11:06:29,525 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-04 11:06:29,527 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-04 11:06:29,540 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-04 11:06:29,542 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-04 11:06:29,550 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-04 11:06:29,553 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-04 11:06:29,564 | trainer | INFO | 'Action' rmse = 0.849
2025-11-04 11:06:29,567 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-04 11:06:29,578 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-04 11:06:29,580 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-04 11:06:29,592 | trainer | INFO | 'Music' rmse = 0.946
2025-11-04 11:06:29,595 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-04 11:06:29,610 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-04 11:06:29,612 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-04 11:06:29,624 | trainer | INFO | 'War' rmse = 0.846
2025-11-04 11:06:29,626 | trainer | INFO | 'War' r-squared = 0.357
2025-11-04 11:06:29,637 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-04 11:06:29,639 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-04 11:06:29,652 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-04 11:06:29,655 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-04 11:06:29,666 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-04 11:06:29,669 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-04 11:06:29,682 | trainer | INFO | 'Family' rmse = 0.889
2025-11-04 11:06:29,685 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-04 11:06:29,695 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-04 11:06:29,697 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-04 11:06:29,705 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-04 11:06:29,708 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-04 11:06:29,720 | trainer | INFO | 'History' rmse = 0.826
2025-11-04 11:06:29,722 | trainer | INFO | 'History' r-squared = 0.238
2025-11-04 11:06:29,732 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-04 11:06:29,735 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-04 11:06:29,746 | trainer | INFO | 'Western' rmse = 0.881
2025-11-04 11:06:29,749 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-04 11:06:29,759 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-04 11:06:29,761 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-04 11:06:29,771 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-04 11:06:29,773 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-04 11:06:29,784 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-04 11:06:29,787 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-04 11:06:31,163 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-04 11:06:31,166 | trainer | INFO | Evaluation of SVD model complete!
2025-11-04 11:06:31,169 | trainer | INFO | Logging SVD model in W&B...
2025-11-04 11:06:32,304 | trainer | INFO | SVD model successfully logged!
