2025-11-07 12:04:15,262 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-07 12:04:15,268 | trainer | INFO | Loading in 'ratings' data...
2025-11-07 12:04:19,738 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-07 12:04:19,884 | trainer | INFO | Data successfully loaded!
2025-11-07 12:04:19,887 | trainer | INFO | Training SVD model...
2025-11-07 12:04:22,026 | trainer | INFO | SVD model successfully trained!
2025-11-07 12:04:22,035 | trainer | INFO | Evaluating SVD model...
2025-11-07 12:04:23,831 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-07 12:04:23,834 | trainer | INFO | RMSE: 0.873
2025-11-07 12:04:23,837 | trainer | INFO | squared: 0.297
2025-11-07 12:04:24,049 | trainer | INFO | Loading in 'genres' table...
2025-11-07 12:04:24,382 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-07 12:04:24,526 | trainer | INFO | Table successfully loaded!
2025-11-07 12:04:24,539 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-07 12:04:24,551 | trainer | INFO | 'Thriller' rmse = 0.834
2025-11-07 12:04:24,557 | trainer | INFO | 'Thriller' r-squared = 0.333
2025-11-07 12:04:24,572 | trainer | INFO | 'Mystery' rmse = 0.83
2025-11-07 12:04:24,575 | trainer | INFO | 'Mystery' r-squared = 0.311
2025-11-07 12:04:24,588 | trainer | INFO | 'Comedy' rmse = 0.904
2025-11-07 12:04:24,596 | trainer | INFO | 'Comedy' r-squared = 0.262
2025-11-07 12:04:24,619 | trainer | INFO | 'Action' rmse = 0.849
2025-11-07 12:04:24,625 | trainer | INFO | 'Action' r-squared = 0.345
2025-11-07 12:04:24,641 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-07 12:04:24,644 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-07 12:04:24,660 | trainer | INFO | 'History' rmse = 0.826
2025-11-07 12:04:24,663 | trainer | INFO | 'History' r-squared = 0.238
2025-11-07 12:04:24,678 | trainer | INFO | 'Adventure' rmse = 0.857
2025-11-07 12:04:24,681 | trainer | INFO | 'Adventure' r-squared = 0.321
2025-11-07 12:04:24,711 | trainer | INFO | 'Family' rmse = 0.889
2025-11-07 12:04:24,713 | trainer | INFO | 'Family' r-squared = 0.269
2025-11-07 12:04:24,734 | trainer | INFO | 'Romance' rmse = 0.909
2025-11-07 12:04:24,741 | trainer | INFO | 'Romance' r-squared = 0.24
2025-11-07 12:04:24,762 | trainer | INFO | 'Crime' rmse = 0.817
2025-11-07 12:04:24,765 | trainer | INFO | 'Crime' r-squared = 0.34
2025-11-07 12:04:24,782 | trainer | INFO | 'Science Fiction' rmse = 0.883
2025-11-07 12:04:24,796 | trainer | INFO | 'Science Fiction' r-squared = 0.324
2025-11-07 12:04:24,814 | trainer | INFO | 'War' rmse = 0.846
2025-11-07 12:04:24,817 | trainer | INFO | 'War' r-squared = 0.357
2025-11-07 12:04:24,835 | trainer | INFO | 'Western' rmse = 0.881
2025-11-07 12:04:24,838 | trainer | INFO | 'Western' r-squared = 0.323
2025-11-07 12:04:24,866 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-07 12:04:24,869 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-07 12:04:24,890 | trainer | INFO | 'Music' rmse = 0.946
2025-11-07 12:04:24,892 | trainer | INFO | 'Music' r-squared = 0.194
2025-11-07 12:04:24,915 | trainer | INFO | 'Horror' rmse = 0.961
2025-11-07 12:04:24,918 | trainer | INFO | 'Horror' r-squared = 0.289
2025-11-07 12:04:24,953 | trainer | INFO | 'Documentary' rmse = 0.93
2025-11-07 12:04:24,955 | trainer | INFO | 'Documentary' r-squared = -0.016
2025-11-07 12:04:24,966 | trainer | INFO | 'Drama' rmse = 0.856
2025-11-07 12:04:24,977 | trainer | INFO | 'Drama' r-squared = 0.26
2025-11-07 12:04:24,998 | trainer | INFO | 'Animation' rmse = 0.844
2025-11-07 12:04:25,001 | trainer | INFO | 'Animation' r-squared = 0.238
2025-11-07 12:04:25,017 | trainer | INFO | 'Fantasy' rmse = 0.894
2025-11-07 12:04:25,030 | trainer | INFO | 'Fantasy' r-squared = 0.286
2025-11-07 12:04:25,047 | trainer | INFO | 'Foreign' rmse = Insufficient Data
2025-11-07 12:04:25,050 | trainer | INFO | 'Foreign' r-squared = Insufficient Data
2025-11-07 12:04:26,182 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-07 12:04:26,184 | trainer | INFO | Evaluation of SVD model complete!
2025-11-07 12:04:26,187 | trainer | INFO | Logging SVD model in W&B...
2025-11-07 12:04:27,610 | trainer | INFO | SVD model successfully logged!
