2025-11-09 12:34:55,804 | trainer | INFO | 'Trainer' object instantiated; W&B run initialized.
2025-11-09 12:34:55,809 | trainer | INFO | Loading in 'ratings' data...
2025-11-09 12:35:00,659 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-09 12:35:00,724 | trainer | INFO | Data successfully loaded!
2025-11-09 12:35:00,728 | trainer | INFO | Training SVD model...
2025-11-09 12:35:03,273 | trainer | INFO | SVD model successfully trained!
2025-11-09 12:35:03,282 | trainer | INFO | Evaluating SVD model...
2025-11-09 12:35:03,544 | trainer | INFO | ### Model Performance Metrics (Overall): ###
2025-11-09 12:35:03,547 | trainer | INFO | RMSE: 0.833
2025-11-09 12:35:03,551 | trainer | INFO | squared: 0.299
2025-11-09 12:35:03,885 | trainer | INFO | Loading in 'genres' table...
2025-11-09 12:35:04,076 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-09 12:35:04,265 | trainer | INFO | Table successfully loaded!
2025-11-09 12:35:04,280 | trainer | INFO | ### Model Performance Metrics (by Genre): ###
2025-11-09 12:35:04,299 | trainer | INFO | 'Mystery' rmse = 0.807
2025-11-09 12:35:04,303 | trainer | INFO | 'Mystery' r-squared = 0.322
2025-11-09 12:35:04,323 | trainer | INFO | 'Action' rmse = 0.856
2025-11-09 12:35:04,326 | trainer | INFO | 'Action' r-squared = 0.316
2025-11-09 12:35:04,352 | trainer | INFO | 'Animation' rmse = 0.815
2025-11-09 12:35:04,355 | trainer | INFO | 'Animation' r-squared = 0.28
2025-11-09 12:35:04,374 | trainer | INFO | 'Documentary' rmse = 0.801
2025-11-09 12:35:04,380 | trainer | INFO | 'Documentary' r-squared = 0.09
2025-11-09 12:35:04,403 | trainer | INFO | 'War' rmse = 0.731
2025-11-09 12:35:04,405 | trainer | INFO | 'War' r-squared = 0.261
2025-11-09 12:35:04,426 | trainer | INFO | 'Comedy' rmse = 0.863
2025-11-09 12:35:04,433 | trainer | INFO | 'Comedy' r-squared = 0.276
2025-11-09 12:35:04,455 | trainer | INFO | 'Fantasy' rmse = 0.889
2025-11-09 12:35:04,458 | trainer | INFO | 'Fantasy' r-squared = 0.291
2025-11-09 12:35:04,481 | trainer | INFO | 'Science Fiction' rmse = 0.872
2025-11-09 12:35:04,485 | trainer | INFO | 'Science Fiction' r-squared = 0.332
2025-11-09 12:35:04,506 | trainer | INFO | 'Crime' rmse = 0.802
2025-11-09 12:35:04,511 | trainer | INFO | 'Crime' r-squared = 0.328
2025-11-09 12:35:04,531 | trainer | INFO | 'Horror' rmse = 0.914
2025-11-09 12:35:04,535 | trainer | INFO | 'Horror' r-squared = 0.3
2025-11-09 12:35:04,556 | trainer | INFO | 'Family' rmse = 0.873
2025-11-09 12:35:04,559 | trainer | INFO | 'Family' r-squared = 0.284
2025-11-09 12:35:04,574 | trainer | INFO | 'Foreign' rmse = 0.698
2025-11-09 12:35:04,577 | trainer | INFO | 'Foreign' r-squared = 0.126
2025-11-09 12:35:04,595 | trainer | INFO | 'Undisclosed' rmse = Insufficient Data
2025-11-09 12:35:04,598 | trainer | INFO | 'Undisclosed' r-squared = Insufficient Data
2025-11-09 12:35:04,614 | trainer | INFO | 'Adventure' rmse = 0.852
2025-11-09 12:35:04,617 | trainer | INFO | 'Adventure' r-squared = 0.323
2025-11-09 12:35:04,636 | trainer | INFO | 'TV Movie' rmse = Insufficient Data
2025-11-09 12:35:04,640 | trainer | INFO | 'TV Movie' r-squared = Insufficient Data
2025-11-09 12:35:04,656 | trainer | INFO | 'History' rmse = 0.78
2025-11-09 12:35:04,660 | trainer | INFO | 'History' r-squared = 0.189
2025-11-09 12:35:04,688 | trainer | INFO | 'Music' rmse = 0.885
2025-11-09 12:35:04,691 | trainer | INFO | 'Music' r-squared = 0.197
2025-11-09 12:35:04,740 | trainer | INFO | 'Western' rmse = 0.816
2025-11-09 12:35:04,744 | trainer | INFO | 'Western' r-squared = 0.295
2025-11-09 12:35:04,774 | trainer | INFO | 'Romance' rmse = 0.863
2025-11-09 12:35:04,777 | trainer | INFO | 'Romance' r-squared = 0.247
2025-11-09 12:35:04,802 | trainer | INFO | 'Thriller' rmse = 0.812
2025-11-09 12:35:04,806 | trainer | INFO | 'Thriller' r-squared = 0.33
2025-11-09 12:35:04,827 | trainer | INFO | 'Drama' rmse = 0.8
2025-11-09 12:35:04,831 | trainer | INFO | 'Drama' r-squared = 0.257
2025-11-09 12:35:06,033 | trainer | INFO | 'training_performance_metrics' successfully logged as artifact in W&B.
2025-11-09 12:35:06,036 | trainer | INFO | Evaluation of SVD model complete!
2025-11-09 12:35:06,038 | trainer | INFO | Logging SVD model in W&B...
2025-11-09 12:35:07,971 | trainer | INFO | SVD model successfully logged!
