2025-11-09 12:53:32,690 | scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-09 12:53:32,695 | scorer | INFO | Loading in 'ratings' data...
2025-11-09 12:53:37,093 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (139100, 4)
2025-11-09 12:53:37,178 | scorer | INFO | Data successfully loaded!
2025-11-09 12:53:37,182 | scorer | INFO | Number of 'existing' users: 1786 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-09 12:53:37,187 | scorer | INFO | Number of 'New' users: 22 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-09 12:53:37,192 | scorer | INFO | Ratings data loaded successfully.
2025-11-09 12:53:37,550 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-09 12:53:37,807 | scorer | INFO | Genres table loaded successfully.
2025-11-09 12:53:37,810 | scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-09 12:53:39,609 | scorer | INFO | Model successfully loaded!
2025-11-09 12:53:39,615 | scorer | INFO | Model imported successfully.
2025-11-09 12:53:39,620 | scorer | INFO | Scoring for 'existing' users...
